cause_code,0,1-4,5-9,10-14,15,16-49,50-64,65+
01-01,8.38,-1.36,4.49,9.73,17.86,6.93,9.55,7.88
01-04,-0.42,-6.65,-7.23,-6.7,-2.68,-9.42,-6.07,0.34
00-02,3.0,1.85,3.07,7.06,0.0,3.0,3.01,5.49
03-03,-0.08,0.56,-1.84,-1.22,-12.5,-0.37,-2.43,-1.92
05-05,-20.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-01,0.12,-0.04,-1.43,4.09,0.0,1.11,-0.9,-7.72
05-03,-14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-03,0.0,-1.16,-1.62,-9.53,0.0,-1.29,0.04,-0.15
04-99,0.5,1.23,2.45,5.88,0.0,1.9,0.53,0.47
03-06,0.0,-0.1,2.36,-5.4,-1.49,0.69,-0.07,-2.29
03-00,0.0,0.15,-1.43,-3.57,0.0,-0.82,-1.22,-3.19
05-00,9.47,0.31,0.0,0.0,0.0,0.0,0.0,0.0
04-00,-0.76,-0.44,1.13,-5.36,0.0,0.11,-0.27,0.16
01-05,0.49,5.41,0.0,0.0,0.0,0.64,0.9,0.57
04-05,0.12,-0.2,-2.25,1.18,0.0,-1.11,-2.02,-0.59
03-07,0.0,0.29,2.36,1.74,0.0,0.71,0.79,1.48
04-04,0.0,0.11,-0.71,0.0,-6.25,-0.09,0.0,0.0
03-99,0.0,0.77,0.61,0.0,4.76,0.44,0.18,0.07
03-04,-0.15,0.0,1.02,-1.26,3.27,-0.27,0.06,0.13
01-00,-0.3,-1.21,0.0,-1.79,0.0,-0.64,-1.22,-0.88
02-04,4.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
03-02,0.38,-0.59,0.52,1.18,-1.49,0.2,-0.34,0.14
05-08,4.36,0.31,0.0,0.0,0.0,0.0,0.0,0.0
01-03,-0.15,-0.17,-0.71,-1.22,-1.49,-0.36,-0.49,0.0
05-04,-1.7,-1.25,-0.82,0.0,0.0,0.0,0.0,0.0
03-08,0.08,1.54,0.21,0.56,0.0,-0.53,-0.58,0.24
04-09,3.5,-0.17,0.0,0.0,0.0,0.0,0.0,0.0
04-01,0.0,0.42,0.0,-0.61,0.0,-1.25,-0.71,-0.37
04-08,0.12,0.0,0.0,2.35,0.0,0.61,-0.2,-0.06
00-03,1.0,0.15,0.0,0.0,0.0,0.15,0.0,1.74
04-02,0.0,-0.17,-0.91,0.56,0.0,-0.2,-0.49,-0.56
03-09,0.16,-0.16,1.04,0.56,0.0,-0.03,0.35,-0.12
03-05,0.0,0.0,0.0,0.56,0.0,0.17,-0.65,-1.01
04-06,0.0,0.0,0.0,0.0,0.0,0.44,1.71,0.05
04-07,0.12,-0.04,-0.2,1.18,0.0,0.15,0.18,0.0
05-99,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-01,0.25,0.31,0.61,0.0,0.0,0.15,0.18,0.0
02-99,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0
02-03,-0.15,0.0,0.0,0.0,0.0,-0.73,0.0,0.0
01-07,0.0,-0.02,-0.71,0.0,0.0,0.0,0.0,-0.11
05-06,-0.35,0.31,0.0,0.0,0.0,0.0,0.0,0.0
02-00,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0
02-01,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0
01-99,0.0,0.0,0.0,0.0,0.0,0.07,0.18,0.13
00-04,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.07
05-02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-02,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0
05-09,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-05,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0
01-06,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
02-06,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0
