cause_code,0,1-4,5-9,10-14
01-04,-3.11,-6.65,-7.23,-12.42
01-01,5.27,-1.36,4.49,15.03
00-02,6.42,1.85,3.07,4.44
04-00,-2.55,-0.44,1.13,-5.88
04-03,0.0,-1.16,-1.62,-6.6
04-99,0.53,1.23,2.45,4.44
01-05,1.63,5.41,0.0,0.0
03-06,0.0,-0.1,2.36,-4.38
03-01,0.53,-0.04,-1.43,4.44
01-00,-1.27,-1.21,0.0,-2.94
05-04,-2.75,-1.25,-0.82,0.0
03-00,0.0,0.15,-1.43,-2.94
03-09,-0.61,-0.16,1.04,2.22
03-07,0.0,0.29,2.36,-0.72
03-03,-0.2,0.56,-1.84,-0.72
03-04,-0.64,0.0,1.02,1.5
04-07,0.53,-0.04,-0.2,2.22
03-08,0.33,1.54,0.21,-0.72
04-05,0.0,-0.2,-2.25,0.0
05-06,-2.11,0.31,0.0,0.0
03-05,0.0,0.0,0.0,2.22
04-08,0.0,0.0,0.0,2.22
05-08,-1.91,0.31,0.0,0.0
04-02,0.0,-0.17,-0.91,-0.72
05-00,-1.48,0.31,0.0,0.0
03-02,0.53,-0.59,0.52,0.0
01-03,-0.64,-0.17,-0.71,0.0
00-01,0.53,0.31,0.61,0.0
03-99,0.0,0.77,0.61,0.0
04-01,0.0,0.42,0.0,-0.72
04-04,0.0,0.11,-0.71,0.0
01-07,0.0,-0.02,-0.71,0.0
04-09,0.53,-0.17,0.0,0.0
00-03,0.53,0.15,0.0,0.0
05-05,-0.11,0.0,0.0,0.0
