cause_code,level2_name,total,0
05-06,Neonatal sepsis,118,118
05-00,Unspecifiable,103,103
05-05,Birth injury/asphyxia,87,87
01-01,Acute febrile illness,79,79
05-03,Prematurity/low birth weight,62,62
05-08,Sudden infant death syndrome,41,41
02-04,Obstructed labour,36,36
04-09,Choking,27,27
05-99,Other specific unlisted,13,13
00-02,Specific information missing on VAQ,12,12
00-03,No significant pathology that would explain the death,7,7
03-09,Nutritional disorder,5,5
05-04,Congenital abnormality,5,5
04-99,Other specific unlisted,3,3
01-04,TB/AIDS,3,3
02-02,Eclampsia,2,2
05-02,Stillbirth,2,2
03-02,Respiratory disorder,2,2
01-05,Diarrhoeal disease without fever,1,1
00-01,No information (VAQ not available),1,1
04-08,Hanging,1,1
04-05,Poisoning/exposure to noxious substance,1,1
03-03,Gastro intestinal disorder,1,1
05-09,Neonatal tetanus,1,1
