age_group,Unspecifiable,Communicable disease,Non communicable disease,External cause,Causes specific to infancy
0,7.49,80.21,6.95,1.6,3.74
1-4,2.31,76.62,15.23,4.62,1.23
5-9,3.68,55.83,22.7,17.18,0.61
10-14,4.44,55.56,24.44,15.56,0.0
15,0.0,100.0,0.0,0.0,0.0
