age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause
15-24,1.69,40.25,7.63,28.81,21.61
25-44,3.88,62.0,2.91,20.56,10.66
45-64,3.31,52.87,0.25,37.2,6.37
65+,7.3,29.59,0.0,60.44,2.68
