cause_code,level2_name,total,15-24,25-44,45-64,65+
01-04,TB/AIDS,833,17.8,45.32,35.41,6.16
01-01,Acute febrile illness,637,21.19,15.39,15.41,21.62
03-01,Cardiovascular disorder,603,4.24,2.8,11.85,31.73
03-06,Neoplasm,246,5.08,3.88,8.66,8.7
03-03,Gastro intestinal disorder,228,4.66,7.53,6.5,6.43
00-02,Specific information missing on VAQ,140,1.69,3.23,3.06,5.49
03-05,Endocrine disorders,92,1.69,1.4,2.68,3.61
03-04,Central nervous system disorder,83,8.05,2.8,1.66,1.67
03-07,Genito urinary disorders,81,1.27,0.75,2.04,3.68
03-02,Respiratory disorder,66,2.54,0.54,2.55,2.34
04-01,Transport,52,5.51,2.48,1.27,0.4
01-05,Diarrhoeal disease without fever,47,0.0,0.75,1.91,1.67
04-08,Hanging,39,5.08,1.94,0.64,0.27
04-06,Use of weapon,36,1.69,1.08,1.66,0.6
04-99,Other specific unlisted,36,3.39,1.83,0.51,0.47
03-08,Anaemia,29,0.42,0.22,0.76,1.34
00-03,No significant pathology that would explain the death,28,0.0,0.22,0.0,1.74
04-05,Poisoning/exposure to noxious substance,28,2.12,1.61,0.89,0.07
04-00,Unspecifiable,22,1.27,0.97,0.76,0.27
03-09,Nutritional disorder,17,0.0,0.11,0.38,0.87
02-99,Other specific unlisted,16,2.54,1.08,0.0,0.0
04-03,Drowning/submersion,15,2.12,0.65,0.38,0.07
02-03,Ante postpartum haemorrhage,10,1.27,0.65,0.13,0.0
03-99,Other specific unlisted,9,0.85,0.54,0.13,0.07
04-02,Fall,9,0.0,0.11,0.0,0.54
02-02,Eclampsia,7,1.69,0.32,0.0,0.0
01-03,Hepatitis,6,1.27,0.32,0.0,0.0
02-05,Puerperal sepsis,6,1.27,0.32,0.0,0.0
02-00,Unspecifiable,5,0.85,0.32,0.0,0.0
00-04,"Multiple significant pathology, single COD can't be isolated",4,0.0,0.32,0.0,0.07
01-99,Other specific unlisted,4,0.0,0.11,0.13,0.13
00-01,No information (VAQ not available),3,0.0,0.11,0.25,0.0
04-07,Contact with venomous animals and plants,3,0.42,0.0,0.25,0.0
02-01,Abortion,2,0.0,0.11,0.13,0.0
02-06,Anaemia in pregnancy,1,0.0,0.11,0.0,0.0
01-06,Tetanus (exc. neonatal tetanus),1,0.0,0.11,0.0,0.0
