cause_code,level2_name,total,0,1-4,5-9,10-14
01-01,Acute febrile illness,588,65.78,56.77,46.63,44.44
01-04,TB/AIDS,96,9.63,8.92,9.2,11.11
01-05,Diarrhoeal disease without fever,79,4.81,10.77,0.0,0.0
03-09,Nutritional disorder,53,3.21,5.38,6.75,2.22
03-08,Anaemia,37,1.6,4.31,3.07,2.22
00-02,Specific information missing on VAQ,31,6.42,1.85,3.07,4.44
04-03,Drowning/submersion,16,0.0,0.92,5.52,2.22
04-99,Other specific unlisted,15,0.53,1.23,2.45,4.44
03-04,Central nervous system disorder,15,0.0,1.38,2.45,4.44
03-03,Gastro intestinal disorder,14,1.07,1.08,2.45,2.22
04-01,Transport,13,0.0,0.77,4.29,2.22
03-06,Neoplasm,12,0.0,0.77,3.07,4.44
03-07,Genito urinary disorders,9,0.0,0.46,3.07,2.22
04-00,Unspecifiable,8,0.0,0.77,1.84,0.0
03-02,Respiratory disorder,7,0.53,0.62,1.23,0.0
03-99,Other specific unlisted,6,0.0,0.77,0.61,0.0
04-07,Contact with venomous animals and plants,6,0.53,0.31,1.23,2.22
05-04,Congenital abnormality,5,1.07,0.31,0.61,0.0
03-01,Cardiovascular disorder,5,0.53,0.31,0.0,4.44
00-01,No information (VAQ not available),4,0.53,0.31,0.61,0.0
05-06,Neonatal sepsis,4,1.07,0.31,0.0,0.0
05-00,Unspecifiable,4,1.07,0.31,0.0,0.0
04-02,Fall,3,0.0,0.0,1.23,2.22
04-04,Exposure to smoke/fire/flames,3,0.0,0.46,0.0,0.0
00-03,No significant pathology that would explain the death,2,0.53,0.15,0.0,0.0
05-08,Sudden infant death syndrome,2,0.0,0.31,0.0,0.0
04-05,Poisoning/exposure to noxious substance,2,0.0,0.15,0.61,0.0
01-07,Rabies,1,0.0,0.15,0.0,0.0
03-00,Unspecifiable,1,0.0,0.15,0.0,0.0
03-05,Endocrine disorders,1,0.0,0.0,0.0,2.22
04-09,Choking,1,0.53,0.0,0.0,0.0
04-08,Hanging,1,0.0,0.0,0.0,2.22
05-05,Birth injury/asphyxia,1,0.53,0.0,0.0,0.0
