age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
0,4.25,29.12,4.75,2.62,4.38,54.87
1-4,2.31,76.62,0.0,15.23,4.62,1.23
5-9,3.68,55.83,0.0,22.7,17.18,0.61
10-14,7.06,48.24,0.0,29.41,15.29,0.0
15-24,1.67,41.0,7.53,28.45,21.34,0.0
25-44,3.88,62.0,2.91,20.56,10.66,0.0
45-64,3.31,52.87,0.25,37.2,6.37,0.0
65+,7.3,29.59,0.0,60.44,2.68,0.0
