cause_code,level2_name,total,15-24,25-44,45-64,65+
01-04,TB/AIDS,833,42,421,278,92
01-01,Acute febrile illness,637,50,143,121,323
03-01,Cardiovascular disorder,603,10,26,93,474
03-06,Neoplasm,246,12,36,68,130
03-03,Gastro intestinal disorder,228,11,70,51,96
00-02,Specific information missing on VAQ,140,4,30,24,82
03-05,Endocrine disorders,92,4,13,21,54
03-04,Central nervous system disorder,83,19,26,13,25
03-07,Genito urinary disorders,81,3,7,16,55
03-02,Respiratory disorder,66,6,5,20,35
04-01,Transport,52,13,23,10,6
01-05,Diarrhoeal disease without fever,47,0,7,15,25
04-08,Hanging,39,12,18,5,4
04-06,Use of weapon,36,4,10,13,9
04-99,Other specific unlisted,36,8,17,4,7
03-08,Anaemia,29,1,2,6,20
00-03,No significant pathology that would explain the death,28,0,2,0,26
04-05,Poisoning/exposure to noxious substance,28,5,15,7,1
04-00,Unspecifiable,22,3,9,6,4
03-09,Nutritional disorder,17,0,1,3,13
02-99,Other specific unlisted,16,6,10,0,0
04-03,Drowning/submersion,15,5,6,3,1
02-03,Ante postpartum haemorrhage,10,3,6,1,0
03-99,Other specific unlisted,9,2,5,1,1
04-02,Fall,9,0,1,0,8
02-02,Eclampsia,7,4,3,0,0
01-03,Hepatitis,6,3,3,0,0
02-05,Puerperal sepsis,6,3,3,0,0
02-00,Unspecifiable,5,2,3,0,0
00-04,"Multiple significant pathology, single COD can't be isolated",4,0,3,0,1
01-99,Other specific unlisted,4,0,1,1,2
00-01,No information (VAQ not available),3,0,1,2,0
04-07,Contact with venomous animals and plants,3,1,0,2,0
02-01,Abortion,2,0,1,1,0
02-06,Anaemia in pregnancy,1,0,1,0,0
01-06,Tetanus (exc. neonatal tetanus),1,0,1,0,0
