cause_code,level2_name,total,0,1-4,5-9,10-14
01-01,Acute febrile illness,588,123,369,76,20
01-04,TB/AIDS,96,18,58,15,5
01-05,Diarrhoeal disease without fever,79,9,70,0,0
03-09,Nutritional disorder,53,6,35,11,1
03-08,Anaemia,37,3,28,5,1
00-02,Specific information missing on VAQ,31,12,12,5,2
04-03,Drowning/submersion,16,0,6,9,1
04-99,Other specific unlisted,15,1,8,4,2
03-04,Central nervous system disorder,15,0,9,4,2
03-03,Gastro intestinal disorder,14,2,7,4,1
04-01,Transport,13,0,5,7,1
03-06,Neoplasm,12,0,5,5,2
03-07,Genito urinary disorders,9,0,3,5,1
04-00,Unspecifiable,8,0,5,3,0
03-02,Respiratory disorder,7,1,4,2,0
03-99,Other specific unlisted,6,0,5,1,0
04-07,Contact with venomous animals and plants,6,1,2,2,1
05-04,Congenital abnormality,5,2,2,1,0
03-01,Cardiovascular disorder,5,1,2,0,2
00-01,No information (VAQ not available),4,1,2,1,0
05-06,Neonatal sepsis,4,2,2,0,0
05-00,Unspecifiable,4,2,2,0,0
04-02,Fall,3,0,0,2,1
04-04,Exposure to smoke/fire/flames,3,0,3,0,0
00-03,No significant pathology that would explain the death,2,1,1,0,0
05-08,Sudden infant death syndrome,2,0,2,0,0
04-05,Poisoning/exposure to noxious substance,2,0,1,1,0
01-07,Rabies,1,0,1,0,0
03-00,Unspecifiable,1,0,1,0,0
03-05,Endocrine disorders,1,0,0,0,1
04-09,Choking,1,1,0,0,0
04-08,Hanging,1,0,0,0,1
05-05,Birth injury/asphyxia,1,1,0,0,0
