cause_code,level3_name,total,15-24,25-44,45-64,65+
01-04-02,Communicable disease: TB/AIDS: AIDS,687,34,372,232,49
03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,221,2,4,32,183
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,204,6,31,40,127
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,173,9,43,33,88
03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,163,3,5,24,131
00-02-00,Unspecifiable: Specific information missing on VAQ,140,4,30,24,82
01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,135,8,45,40,42
03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,117,5,40,31,41
03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,100,3,6,13,78
03-01-03,Non communicable disease: Cardiovascular disorder: Ischaemic heart disease,93,0,6,18,69
01-01-01,Communicable disease: Acute febrile illness: Malaria,92,17,18,14,43
03-05-01,Non communicable disease: Endocrine disorders: Diabetes,91,4,12,21,54
01-01-02,Communicable disease: Acute febrile illness: Menigitis,70,11,30,14,15
03-06-99,Non communicable disease: Neoplasm: Other specific unlisted,69,7,6,18,38
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,66,3,7,15,41
03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,61,17,26,11,7
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,56,2,13,10,31
03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,55,3,12,10,30
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,55,3,13,13,26
04-01-00,External cause: Transport,52,13,23,10,6
01-05-00,Communicable disease: Diarrhoeal disease without fever,47,0,7,15,25
03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,45,0,7,20,18
04-08-00,External cause: Hanging,39,12,18,5,4
03-02-02,Non communicable disease: Respiratory disorder: Asthma,38,6,3,13,16
04-99-00,External cause: Other specific unlisted,36,8,17,4,7
04-06-00,External cause: Use of weapon,36,4,10,13,9
03-03-01,Non communicable disease: Gastro intestinal disorder: Peptic ulcer disease,32,0,13,4,15
04-05-00,External cause: Poisoning/exposure to noxious substance,28,5,15,7,1
03-08-00,Non communicable disease: Anaemia: Unspecifiable,28,1,2,5,20
00-03-00,Unspecifiable: No significant pathology that would explain the death,28,0,2,0,26
03-06-00,Non communicable disease: Neoplasm: Unspecifiable,26,1,3,4,18
04-00-00,External cause: Unspecifiable,22,3,9,6,4
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,21,3,5,4,9
01-01-06,Communicable disease: Acute febrile illness: Sepsis,21,2,3,6,10
03-06-07,Non communicable disease: Neoplasm: Oesophagus,21,0,3,6,12
03-04-99,Non communicable disease: Central nervous system disorder: Other specific unlisted,20,0,0,2,18
03-02-01,Non communicable disease: Respiratory disorder: Chronic obstructive pulmonary disease,18,0,1,5,12
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,17,0,1,3,13
02-99-00,Direct maternal cause: Other specific unlisted,16,6,10,0,0
04-03-00,External cause: Drowning/submersion,15,5,6,3,1
03-01-99,Non communicable disease: Cardiovascular disorder: Other specific unlisted,14,2,1,3,8
03-07-99,Non communicable disease: Genito urinary disorders: Other specific unlisted,13,0,0,1,12
03-06-01,Non communicable disease: Neoplasm: Breast,13,0,2,5,6
03-01-00,Non communicable disease: Cardiovascular disorder: Unspecifiable,12,0,4,3,5
03-03-00,Non communicable disease: Gastro intestinal disorder: Unspecifiable,12,0,3,1,8
03-03-99,Non communicable disease: Gastro intestinal disorder: Other specific unlisted,12,3,1,2,6
02-03-00,Direct maternal cause: Ante postpartum haemorrhage,10,3,6,1,0
03-02-00,Non communicable disease: Respiratory disorder: Unspecifiable,10,0,1,2,7
03-99-00,Non communicable disease: Other specific unlisted,9,2,5,1,1
04-02-00,External cause: Fall,9,0,1,0,8
01-04-03,Communicable disease: TB/AIDS: Extrapulmonary TB,8,0,2,5,1
03-06-03,Non communicable disease: Neoplasm: Liver,8,1,2,3,2
03-06-05,Non communicable disease: Neoplasm: Lung,8,0,1,2,5
02-02-00,Direct maternal cause: Eclampsia,7,4,3,0,0
02-05-00,Direct maternal cause: Puerperal sepsis,6,3,3,0,0
01-03-00,Communicable disease: Hepatitis,6,3,3,0,0
02-00-00,Direct maternal cause: Unspecifiable,5,2,3,0,0
01-99-00,Communicable disease: Other specific unlisted,4,0,1,1,2
00-04-00,"Unspecifiable: Multiple significant pathology, single COD can't be isolated",4,0,3,0,1
00-01-00,Unspecifiable: No information (VAQ not available),3,0,1,2,0
04-07-00,External cause: Contact with venomous animals and plants,3,1,0,2,0
01-04-00,Communicable disease: TB/AIDS: Unspecifiable,3,0,2,1,0
02-01-00,Direct maternal cause: Abortion,2,0,1,1,0
03-07-00,Non communicable disease: Genito urinary disorders: Unspecifiable,2,0,0,0,2
01-06-00,Communicable disease: Tetanus (exc. neonatal tetanus),1,0,1,0,0
02-06-00,Direct maternal cause: Anaemia in pregnancy,1,0,1,0,0
03-05-00,Non communicable disease: Endocrine disorders: Unspecifiable,1,0,1,0,0
03-06-06,Non communicable disease: Neoplasm: Oral,1,0,0,0,1
03-04-00,Non communicable disease: Central nervous system disorder: Unspecifiable,1,1,0,0,0
03-04-01,Non communicable disease: Central nervous system disorder: Mental/behavioural disorder,1,1,0,0,0
03-08-99,Non communicable disease: Anaemia: Other specific unlisted,1,0,0,1,0
