cause_code,15-24,25-44,45-64,65+
01-04-02,-5.0,-8.59,-10.83,-0.02
03-03-00,-3.53,-3.84,-2.28,-4.08
00-02-00,1.69,3.23,3.06,5.49
03-01-02,-0.49,-0.13,-2.81,-6.87
01-04-01,2.21,2.76,3.73,1.6
01-01-04,2.54,2.17,2.69,2.79
01-01-00,-3.25,1.9,1.79,2.81
03-06-99,2.97,0.65,2.29,2.54
01-01-01,5.44,1.29,1.26,-0.09
03-06-00,-3.11,-0.33,-1.21,-2.1
04-99-00,3.39,1.83,0.51,0.47
03-00-00,-0.59,-0.91,-1.03,-3.19
03-01-03,0.0,0.52,1.6,3.41
03-03-02,0.36,1.32,2.23,0.98
03-07-01,1.27,0.75,1.22,1.64
04-05-00,-1.41,-1.12,-1.69,-0.59
03-06-02,-0.59,-0.16,-1.57,-2.21
01-04-00,-1.18,-2.12,-0.9,-0.33
04-01-00,-2.14,-1.29,-0.62,-0.37
03-04-00,-1.93,-0.52,-1.37,-0.55
03-01-01,0.68,0.41,-0.03,-2.66
01-01-02,1.72,0.24,0.92,0.78
03-04-02,1.91,0.59,0.88,0.25
04-03-00,-2.0,-1.17,-0.31,-0.15
02-99-00,2.54,1.08,0.0,0.0
01-04-03,-1.18,-0.82,-0.56,-0.92
03-01-00,-1.18,0.3,-0.48,-1.43
01-01-05,0.26,0.88,0.93,1.19
01-00-00,-0.59,-0.52,-1.2,-0.88
03-06-04,1.27,1.03,-0.28,-0.52
01-01-99,1.27,0.54,0.51,0.6
04-06-00,1.1,0.3,1.32,0.05
03-07-00,-1.18,-0.13,-0.34,-0.97
03-01-04,0.85,0.17,0.82,-0.72
03-05-01,1.1,-0.27,-0.24,-0.9
04-08-00,2.14,0.25,-0.05,-0.06
02-04-00,-1.18,-1.17,0.0,0.0
01-05-00,0.0,0.62,1.05,0.57
02-03-00,-1.08,-0.91,0.13,0.0
03-03-99,1.27,0.11,0.25,0.4
03-03-03,-0.49,0.36,-0.92,0.2
00-03-00,0.0,0.22,0.0,1.74
03-06-07,0.0,0.32,0.76,0.8
03-01-99,0.85,0.11,0.38,0.54
02-00-00,-1.5,-0.33,0.0,0.0
01-03-00,-1.08,-0.2,-0.52,0.0
03-03-01,0.0,1.01,0.17,0.56
03-08-00,-0.76,-0.17,-0.56,0.24
03-02-02,0.78,-0.33,-0.4,-0.14
03-06-03,0.42,-0.56,-0.14,-0.53
04-02-00,-0.59,-0.15,-0.34,-0.56
03-99-00,0.85,0.54,0.13,0.07
02-01-00,-1.18,-0.28,-0.04,0.0
03-04-99,0.0,0.0,0.25,1.2
03-02-01,0.0,0.11,0.47,0.69
03-04-01,-0.17,-0.13,-0.17,-0.77
04-04-00,-1.18,0.0,0.0,0.0
03-07-99,0.0,0.0,0.13,0.8
01-01-06,0.26,0.19,0.24,-0.21
03-08-01,-0.59,-0.26,0.0,0.0
04-00-00,-0.49,0.06,0.07,0.16
04-07-00,0.42,0.0,0.25,0.0
02-02-00,0.51,0.06,0.0,0.0
02-05-00,-0.49,-0.07,0.0,0.0
03-02-00,0.0,-0.02,0.08,-0.41
03-06-01,0.0,-0.04,0.12,-0.26
03-09-01,0.0,0.11,0.21,0.1
00-04-00,0.0,0.32,0.0,0.07
01-99-00,0.0,0.11,0.13,0.13
00-01-00,0.0,0.11,0.25,0.0
03-09-00,0.0,-0.13,0.0,-0.22
03-06-05,0.0,-0.02,-0.09,-0.11
03-05-00,0.0,0.11,0.0,-0.11
03-08-99,0.0,0.0,0.13,0.0
01-07-00,0.0,0.0,0.0,-0.11
01-06-00,0.0,0.11,0.0,0.0
03-06-06,0.0,0.0,0.0,0.07
02-06-00,0.0,-0.02,0.0,0.0
