cause_code,level2_name,total,0
05-06,Neonatal sepsis,118,19.25
05-00,Unspecifiable,103,16.8
05-05,Birth injury/asphyxia,87,14.19
01-01,Acute febrile illness,79,12.89
05-03,Prematurity/low birth weight,62,10.11
05-08,Sudden infant death syndrome,41,6.69
02-04,Obstructed labour,36,5.87
04-09,Choking,27,4.4
05-99,Other specific unlisted,13,2.12
00-02,Specific information missing on VAQ,12,1.96
00-03,No significant pathology that would explain the death,7,1.14
03-09,Nutritional disorder,5,0.82
05-04,Congenital abnormality,5,0.82
04-99,Other specific unlisted,3,0.49
01-04,TB/AIDS,3,0.49
02-02,Eclampsia,2,0.33
05-02,Stillbirth,2,0.33
03-02,Respiratory disorder,2,0.33
01-05,Diarrhoeal disease without fever,1,0.16
00-01,No information (VAQ not available),1,0.16
04-08,Hanging,1,0.16
04-05,Poisoning/exposure to noxious substance,1,0.16
03-03,Gastro intestinal disorder,1,0.16
05-09,Neonatal tetanus,1,0.16
