cause_code,15-24,25-44,45-64,65+
01-01,8.25,7.2,8.37,7.88
01-04,-5.14,-8.78,-8.58,0.34
00-02,1.69,3.23,3.06,5.49
03-01,0.71,1.37,-0.52,-7.72
04-99,3.39,1.83,0.51,0.47
03-03,-2.4,-1.05,-0.54,-1.92
03-00,-0.59,-0.91,-1.03,-3.19
04-05,-1.41,-1.12,-1.69,-0.59
04-01,-2.14,-1.29,-0.62,-0.37
03-06,0.96,0.89,-0.1,-2.29
04-03,-2.0,-1.17,-0.31,-0.15
02-99,2.54,1.08,0.0,0.0
03-07,0.09,0.62,1.01,1.48
01-00,-0.59,-0.52,-1.2,-0.88
04-06,1.1,0.3,1.32,0.05
03-05,1.1,-0.16,-0.24,-1.01
04-08,2.14,0.25,-0.05,-0.06
03-08,-1.34,-0.43,-0.44,0.24
02-04,-1.18,-1.17,0.0,0.0
01-05,0.0,0.62,1.05,0.57
02-03,-1.08,-0.91,0.13,0.0
00-03,0.0,0.22,0.0,1.74
02-00,-1.5,-0.33,0.0,0.0
01-03,-1.08,-0.2,-0.52,0.0
04-02,-0.59,-0.15,-0.34,-0.56
03-99,0.85,0.54,0.13,0.07
02-01,-1.18,-0.28,-0.04,0.0
03-02,0.78,-0.24,0.14,0.14
04-04,-1.18,0.0,0.0,0.0
04-00,-0.49,0.06,0.07,0.16
03-04,-0.19,-0.06,-0.4,0.13
04-07,0.42,0.0,0.25,0.0
02-02,0.51,0.06,0.0,0.0
02-05,-0.49,-0.07,0.0,0.0
00-04,0.0,0.32,0.0,0.07
01-99,0.0,0.11,0.13,0.13
00-01,0.0,0.11,0.25,0.0
03-09,0.0,-0.02,0.21,-0.12
01-06,0.0,0.11,0.0,0.0
01-07,0.0,0.0,0.0,-0.11
02-06,0.0,-0.02,0.0,0.0
