cause_code,level2_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-01,Acute febrile illness,1304,25.25,56.77,46.63,44.44,21.19,15.39,15.41,21.62
01-04,TB/AIDS,932,2.62,8.92,9.2,11.11,17.8,45.32,35.41,6.16
03-01,Cardiovascular disorder,608,0.12,0.31,0.0,4.44,4.24,2.8,11.85,31.73
03-06,Neoplasm,258,0.0,0.77,3.07,4.44,5.08,3.88,8.66,8.7
03-03,Gastro intestinal disorder,243,0.38,1.08,2.45,2.22,4.66,7.53,6.5,6.43
00-02,Specific information missing on VAQ,183,3.0,1.85,3.07,4.44,1.69,3.23,3.06,5.49
01-05,Diarrhoeal disease without fever,127,1.25,10.77,0.0,0.0,0.0,0.75,1.91,1.67
05-06,Neonatal sepsis,122,15.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
05-00,Unspecifiable,107,13.12,0.31,0.0,0.0,0.0,0.0,0.0,0.0
03-04,Central nervous system disorder,98,0.0,1.38,2.45,4.44,8.05,2.8,1.66,1.67
03-05,Endocrine disorders,93,0.0,0.0,0.0,2.22,1.69,1.4,2.68,3.61
03-07,Genito urinary disorders,90,0.0,0.46,3.07,2.22,1.27,0.75,2.04,3.68
05-05,Birth injury/asphyxia,88,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-09,Nutritional disorder,75,1.38,5.38,6.75,2.22,0.0,0.11,0.38,0.87
03-02,Respiratory disorder,75,0.38,0.62,1.23,0.0,2.54,0.54,2.55,2.34
03-08,Anaemia,66,0.38,4.31,3.07,2.22,0.42,0.22,0.76,1.34
04-01,Transport,65,0.0,0.77,4.29,2.22,5.51,2.48,1.27,0.4
05-03,Prematurity/low birth weight,62,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-99,Other specific unlisted,54,0.5,1.23,2.45,4.44,3.39,1.83,0.51,0.47
05-08,Sudden infant death syndrome,43,5.12,0.31,0.0,0.0,0.0,0.0,0.0,0.0
04-08,Hanging,41,0.12,0.0,0.0,2.22,5.08,1.94,0.64,0.27
00-03,No significant pathology that would explain the death,37,1.0,0.15,0.0,0.0,0.0,0.22,0.0,1.74
02-04,Obstructed labour,36,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-06,Use of weapon,36,0.0,0.0,0.0,0.0,1.69,1.08,1.66,0.6
04-05,Poisoning/exposure to noxious substance,31,0.12,0.15,0.61,0.0,2.12,1.61,0.89,0.07
04-03,Drowning/submersion,31,0.0,0.92,5.52,2.22,2.12,0.65,0.38,0.07
04-00,Unspecifiable,30,0.0,0.77,1.84,0.0,1.27,0.97,0.76,0.27
04-09,Choking,28,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-99,Other specific unlisted,16,0.0,0.0,0.0,0.0,2.54,1.08,0.0,0.0
03-99,Other specific unlisted,15,0.0,0.77,0.61,0.0,0.85,0.54,0.13,0.07
05-99,Other specific unlisted,13,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-02,Fall,12,0.0,0.0,1.23,2.22,0.0,0.11,0.0,0.54
05-04,Congenital abnormality,10,0.88,0.31,0.61,0.0,0.0,0.0,0.0,0.0
02-03,Ante postpartum haemorrhage,10,0.0,0.0,0.0,0.0,1.27,0.65,0.13,0.0
02-02,Eclampsia,9,0.25,0.0,0.0,0.0,1.69,0.32,0.0,0.0
04-07,Contact with venomous animals and plants,9,0.12,0.31,1.23,2.22,0.42,0.0,0.25,0.0
00-01,No information (VAQ not available),8,0.25,0.31,0.61,0.0,0.0,0.11,0.25,0.0
01-03,Hepatitis,6,0.0,0.0,0.0,0.0,1.27,0.32,0.0,0.0
02-05,Puerperal sepsis,6,0.0,0.0,0.0,0.0,1.27,0.32,0.0,0.0
02-00,Unspecifiable,5,0.0,0.0,0.0,0.0,0.85,0.32,0.0,0.0
01-99,Other specific unlisted,4,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.13
00-04,"Multiple significant pathology, single COD can't be isolated",4,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.07
04-04,Exposure to smoke/fire/flames,3,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0
05-02,Stillbirth,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-01,Abortion,2,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.0
01-06,Tetanus (exc. neonatal tetanus),1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
02-06,Anaemia in pregnancy,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
01-07,Rabies,1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
03-00,Unspecifiable,1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
05-09,Neonatal tetanus,1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
