age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
0,34,233,38,21,35,439
1-4,15,498,0,99,30,8
5-9,6,91,0,37,28,1
10-14,6,41,0,25,13,0
15-24,4,98,18,68,51,0
25-44,36,576,27,191,99,0
45-64,26,415,2,292,50,0
65+,109,442,0,903,40,0
