cause_code,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-04-02,-0.96,-7.52,-10.83,-11.7,-6.7,-12.75,-13.03,-1.29
01-01-01,3.15,6.97,14.66,13.4,7.99,3.65,3.55,1.05
01-01-00,-2.88,-13.36,-7.87,-6.6,-5.37,-0.8,-0.88,-1.27
03-03-00,-0.3,0.0,-2.14,-2.94,-3.53,-3.95,-2.41,-4.29
03-06-00,0.0,-0.41,-0.1,-5.88,-3.53,-0.54,-1.34,-3.17
05-05-00,-12.33,0.0,1.22,0.0,0.0,0.0,0.0,0.0
01-01-99,0.37,0.46,2.44,4.44,3.39,0.97,0.64,0.8
01-04-01,0.1,1.68,1.83,-0.72,2.63,2.54,2.83,1.13
03-06-99,0.0,0.62,1.83,2.22,2.12,0.86,2.93,2.41
03-01-02,0.0,0.0,0.0,2.22,-0.49,0.29,-2.94,-6.87
04-00-00,-0.76,-1.21,-0.71,-5.88,-1.76,-0.8,-0.69,-0.11
01-05-00,0.74,5.72,1.83,0.0,0.42,0.94,0.79,0.91
03-03-02,0.0,0.15,1.22,0.0,2.05,2.49,3.5,1.85
03-04-00,-0.15,-1.23,-1.43,-2.94,-2.35,-0.52,-1.24,-0.48
03-00-00,0.0,0.0,-1.43,-2.94,-0.59,-0.91,-1.03,-3.19
02-04-00,8.86,0.0,0.0,0.0,0.09,0.12,0.0,0.0
03-01-01,0.0,0.0,0.0,0.0,0.68,0.3,4.03,3.96
03-01-99,0.25,0.77,0.61,2.22,1.27,0.97,0.89,1.27
00-03-00,0.75,0.15,0.61,2.22,0.42,0.54,0.38,3.15
03-04-02,0.0,0.62,2.44,2.22,1.49,0.58,0.24,0.11
01-00-00,-0.3,-1.21,0.0,-2.94,-0.59,-0.52,-1.2,-0.88
03-99-00,0.0,1.23,0.61,2.22,1.69,0.43,0.64,0.8
03-09-01,-0.22,1.38,1.0,4.44,0.0,0.21,-0.04,0.1
03-04-99,0.12,1.38,0.0,4.44,0.0,0.11,0.25,1.07
01-01-04,2.11,1.48,0.39,0.79,0.85,0.33,0.64,-0.69
01-04-00,-0.3,-1.73,0.0,0.0,-1.18,-2.02,-1.03,-0.33
01-01-02,-0.14,0.73,-1.03,0.79,1.72,0.12,0.29,0.25
03-01-00,0.0,-0.35,-1.43,0.0,-0.76,-0.02,-0.86,-1.43
04-03-00,0.0,0.23,0.18,-2.15,-1.58,-0.42,-0.05,-0.02
03-06-04,0.0,0.0,0.0,2.22,1.27,0.28,0.23,-0.59
01-01-05,-0.5,-2.1,-0.71,0.0,-0.17,0.45,0.04,0.59
03-03-03,0.1,0.56,-0.92,0.0,0.36,0.79,-1.05,0.74
00-02-00,0.5,0.62,0.0,0.0,0.0,0.75,0.51,1.87
03-08-00,0.22,0.1,-1.43,-0.72,-0.33,-0.18,-0.69,-0.3
03-01-04,0.0,0.15,0.61,0.0,0.42,0.49,0.3,-1.99
03-01-03,0.0,0.0,0.0,0.0,0.0,0.19,0.96,2.74
03-07-01,0.12,0.15,0.51,-0.72,0.42,0.32,0.71,0.91
04-05-00,0.0,0.27,-1.64,0.0,0.28,-0.47,-0.8,-0.33
03-03-01,0.0,0.0,0.0,0.0,0.42,1.33,0.93,0.97
01-99-00,0.0,0.46,0.61,0.0,0.0,0.75,0.76,1.0
04-08-00,0.0,0.0,0.0,2.22,0.45,0.57,0.2,-0.13
01-03-00,-0.03,-0.02,-0.71,0.0,-1.93,0.23,-0.39,0.07
04-99-00,0.12,0.31,1.22,0.0,0.85,0.54,0.13,0.2
03-08-01,-0.15,-0.87,-1.43,0.0,-0.59,-0.26,0.0,0.0
01-01-06,0.47,1.37,0.0,0.0,-0.59,0.19,0.12,-0.41
04-07-00,0.0,-0.04,-0.21,2.22,0.42,0.11,0.13,0.0
04-06-00,0.0,0.0,0.0,0.0,1.53,-0.03,1.44,-0.01
03-06-07,0.0,0.0,0.0,0.0,0.0,0.21,1.15,1.61
04-01-00,0.0,0.42,0.59,-0.72,-0.45,0.2,0.53,-0.03
03-07-00,0.0,-0.17,0.0,0.0,-1.18,-0.13,-0.34,-1.1
02-00-00,0.0,0.0,0.0,0.0,-2.35,-0.54,0.0,0.0
05-08-00,2.61,0.15,0.0,0.0,0.0,0.0,0.0,0.0
03-07-99,0.0,0.15,0.61,0.0,0.0,0.32,0.25,1.34
03-05-01,0.0,0.15,0.0,0.0,1.1,-0.27,-0.5,-0.63
03-06-02,0.0,0.0,0.0,0.0,0.26,0.59,-0.3,-1.13
05-00-00,-2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-04-00,-0.33,-0.48,-0.82,0.0,0.42,0.0,0.0,0.0
01-04-03,0.0,0.0,0.51,0.0,-0.76,-0.07,0.07,-0.52
03-03-99,0.0,0.0,0.0,0.0,0.85,0.75,0.13,0.2
03-02-02,0.12,0.34,-0.1,0.0,0.36,0.1,-0.41,0.46
04-02-00,0.0,-0.02,-0.31,-0.72,0.26,-0.05,-0.09,0.31
04-09-00,1.37,0.29,0.0,0.0,0.0,0.0,0.0,0.07
04-04-00,0.0,0.11,-0.1,0.0,-1.18,0.0,0.0,0.07
03-06-06,0.0,0.0,0.0,-0.72,0.42,0.0,0.0,0.27
02-03-00,-0.15,0.0,0.0,0.0,-0.66,-0.38,0.13,0.0
05-99-00,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
03-02-00,0.0,-0.02,0.0,0.0,0.0,0.19,-0.17,-0.75
02-02-00,0.1,0.0,0.0,0.0,0.94,0.06,0.0,0.0
02-99-00,0.0,0.0,0.0,0.0,0.42,0.64,0.0,0.0
03-08-99,0.0,0.62,0.0,0.0,0.0,0.11,0.25,0.07
05-06-00,-0.87,0.15,0.0,0.0,0.0,0.0,0.0,0.0
03-04-01,0.0,0.0,0.0,0.0,0.26,0.08,0.21,-0.37
03-06-03,0.0,0.0,0.0,0.0,0.0,-0.24,0.12,-0.33
05-03-00,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.43
02-01-00,0.0,0.0,0.0,0.0,-0.33,-0.18,-0.04,0.0
02-06-00,0.0,0.0,0.0,0.0,0.42,0.08,0.0,0.0
01-01-03,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0
03-09-00,0.0,0.0,0.0,0.0,0.0,-0.13,0.0,-0.22
03-06-01,0.0,0.0,0.0,0.0,0.0,0.17,-0.01,-0.06
03-05-00,0.0,0.0,0.0,0.0,0.0,0.0,0.13,-0.11
03-05-99,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07
03-02-99,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07
03-06-05,0.0,0.0,0.0,0.0,0.0,0.08,-0.09,0.03
00-04-00,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.07
01-07-00,0.0,-0.02,-0.1,0.0,0.0,0.0,0.0,-0.04
01-04-99,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
02-05-00,0.0,0.0,0.0,0.0,-0.07,-0.07,0.0,0.0
00-01-00,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
05-09-00,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-06-00,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
