cause_code,0,1-4,5-9,10-14
01-01-01,9.44,6.97,14.66,13.4
01-01-00,-11.78,-13.36,-7.87,-6.6
01-04-02,-3.88,-7.52,-10.83,-11.7
01-05-00,3.24,5.72,1.83,0.0
04-00-00,-2.55,-1.21,-0.71,-5.88
01-01-99,1.07,0.46,2.44,4.44
03-09-01,-0.61,1.38,1.0,4.44
03-06-00,0.0,-0.41,-0.1,-5.88
03-04-99,0.53,1.38,0.0,4.44
03-04-00,-0.64,-1.23,-1.43,-2.94
03-03-00,-0.64,0.0,-2.14,-2.94
01-00-00,-1.27,-1.21,0.0,-2.94
03-04-02,0.0,0.62,2.44,2.22
01-01-04,2.6,1.48,0.39,0.79
01-01-05,-1.99,-2.1,-0.71,0.0
03-06-99,0.0,0.62,1.83,2.22
03-01-99,1.07,0.77,0.61,2.22
01-04-01,0.43,1.68,1.83,-0.72
03-00-00,0.0,0.0,-1.43,-2.94
03-99-00,0.0,1.23,0.61,2.22
05-04-00,-2.22,-0.48,-0.82,0.0
00-03-00,0.53,0.15,0.61,2.22
05-03-00,3.21,0.0,0.0,0.0
03-08-00,0.96,0.1,-1.43,-0.72
01-04-00,-1.27,-1.73,0.0,0.0
01-01-02,-0.41,0.73,-1.03,0.79
03-08-01,-0.64,-0.87,-1.43,0.0
04-03-00,0.0,0.23,0.18,-2.15
05-08-00,2.37,0.15,0.0,0.0
04-07-00,0.0,-0.04,-0.21,2.22
01-01-06,0.96,1.37,0.0,0.0
04-08-00,0.0,0.0,0.0,2.22
03-01-02,0.0,0.0,0.0,2.22
03-06-04,0.0,0.0,0.0,2.22
04-99-00,0.53,0.31,1.22,0.0
05-00-00,-2.02,0.0,0.0,0.0
04-05-00,0.0,0.27,-1.64,0.0
04-09-00,1.6,0.29,0.0,0.0
03-01-00,0.0,-0.35,-1.43,0.0
04-01-00,0.0,0.42,0.59,-0.72
03-03-03,-0.11,0.56,-0.92,0.0
03-07-01,0.0,0.15,0.51,-0.72
03-03-02,0.0,0.15,1.22,0.0
05-05-00,-0.11,0.0,1.22,0.0
05-99-00,1.07,0.15,0.0,0.0
01-99-00,0.0,0.46,0.61,0.0
04-02-00,0.0,-0.02,-0.31,-0.72
03-02-02,0.53,0.34,-0.1,0.0
01-03-00,-0.11,-0.02,-0.71,0.0
03-01-04,0.0,0.15,0.61,0.0
03-07-99,0.0,0.15,0.61,0.0
03-06-06,0.0,0.0,0.0,-0.72
00-02-00,0.0,0.62,0.0,0.0
03-08-99,0.0,0.62,0.0,0.0
01-04-03,0.0,0.0,0.51,0.0
01-01-03,0.0,0.46,0.0,0.0
04-04-00,0.0,0.11,-0.1,0.0
05-06-00,0.03,0.15,0.0,0.0
03-07-00,0.0,-0.17,0.0,0.0
01-04-99,0.0,0.15,0.0,0.0
03-05-01,0.0,0.15,0.0,0.0
01-07-00,0.0,-0.02,-0.1,0.0
03-02-00,0.0,-0.02,0.0,0.0
