age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
15-24,0.42,38.56,8.47,30.93,21.19,0.42
25-44,1.4,57.57,4.3,25.13,11.6,0.0
45-64,1.02,46.82,0.25,43.89,8.02,0.0
65+,5.09,22.02,0.0,69.14,3.75,0.0
