cause_code,level3_name,total,0
05-03-00,Causes specific to infancy: Prematurity/low birth weight,165,165
05-05-00,Causes specific to infancy: Birth injury/asphyxia,151,151
05-06-00,Causes specific to infancy: Neonatal sepsis,110,110
02-04-00,Direct maternal cause: Obstructed labour,71,71
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,28,28
05-08-00,Causes specific to infancy: Sudden infant death syndrome,19,19
05-04-00,Causes specific to infancy: Congenital abnormality,15,15
05-00-00,Causes specific to infancy: Unspecifiable,10,10
01-01-01,Communicable disease: Acute febrile illness: Malaria,9,9
04-09-00,External cause: Choking,8,8
05-99-00,Causes specific to infancy: Other specific unlisted,6,6
00-03-00,Unspecifiable: No significant pathology that would explain the death,5,5
00-02-00,Unspecifiable: Specific information missing on VAQ,4,4
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,2,2
01-01-06,Communicable disease: Acute febrile illness: Sepsis,2,2
02-02-00,Direct maternal cause: Eclampsia,2,2
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,2,2
01-01-02,Communicable disease: Acute febrile illness: Menigitis,1,1
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,1,1
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,1,1
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,1,1
05-09-00,Causes specific to infancy: Neonatal tetanus,1,1
