age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
0,1.25,22.97,9.11,2.25,1.5,62.92
1-4,0.77,74.15,0.0,18.15,5.38,1.54
5-9,0.61,60.98,0.0,18.29,18.29,1.83
10-14,3.53,43.53,0.0,35.29,17.65,0.0
15-24,0.42,39.33,8.37,30.54,20.92,0.42
25-44,1.4,57.57,4.3,25.13,11.6,0.0
45-64,1.02,46.82,0.25,43.89,8.02,0.0
65+,5.09,22.02,0.0,69.14,3.75,0.0
