level,full_n,full_accuracy,full_kappa,narrative_present_n,narrative_present_accuracy,narrative_present_kappa,accuracy_difference,kappa_difference
level1,3866,0.8654940506983962,0.7971671280632221,3584,0.8683035714285714,0.7986578922593202,0.0028095207301751524,0.00149076419609806
level2,3866,0.7250387997930677,0.6884241284224907,3584,0.728515625,0.6910917113115894,0.003476825206932266,0.0026675828890987408
level3,3866,0.5501810657009829,0.524710014016266,3584,0.5491071428571429,0.5228194575341215,-0.0010739228438400028,-0.0018905564821445342
