cause_code,level2_name,total,0
05-03,Prematurity/low birth weight,165,165
05-05,Birth injury/asphyxia,151,151
05-06,Neonatal sepsis,110,110
02-04,Obstructed labour,71,71
01-01,Acute febrile illness,43,43
05-08,Sudden infant death syndrome,19,19
05-04,Congenital abnormality,15,15
05-00,Unspecifiable,10,10
04-09,Choking,8,8
05-99,Other specific unlisted,6,6
00-03,No significant pathology that would explain the death,5,5
00-02,Specific information missing on VAQ,4,4
02-02,Eclampsia,2,2
03-09,Nutritional disorder,2,2
03-07,Genito urinary disorders,1,1
03-03,Gastro intestinal disorder,1,1
05-09,Neonatal tetanus,1,1
