cause_code,level3_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-04-02,Communicable disease: TB/AIDS: AIDS,674,13,40,8,4,30,334,215,30
01-01-01,Communicable disease: Acute febrile illness: Malaria,445,35,187,58,10,23,40,32,60
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,300,96,76,10,3,2,14,24,75
03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,293,0,0,0,0,3,4,56,230
03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,202,0,1,1,0,1,7,28,164
05-03-00,Causes specific to infancy: Prematurity/low birth weight,171,171,0,0,0,0,0,0,0
03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,158,0,1,2,0,9,51,41,54
05-05-00,Causes specific to infancy: Birth injury/asphyxia,154,152,0,2,0,0,0,0,0
01-05-00,Communicable disease: Diarrhoeal disease without fever,141,12,72,3,0,1,10,13,30
01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,138,2,12,3,1,9,43,33,35
05-06-00,Causes specific to infancy: Neonatal sepsis,117,116,1,0,0,0,0,0,0
03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,104,0,0,0,1,3,10,12,78
04-01-00,External cause: Transport,98,0,5,8,1,17,37,19,11
03-05-01,Non communicable disease: Endocrine disorders: Diabetes,94,0,1,0,0,4,12,19,58
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,94,5,20,7,1,4,18,12,27
02-04-00,Direct maternal cause: Obstructed labour,86,71,0,0,0,3,12,0,0
01-01-02,Communicable disease: Acute febrile illness: Menigitis,83,5,16,3,3,11,29,9,7
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,82,8,45,11,2,0,2,1,13
03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,80,0,0,0,0,2,14,30,34
03-06-99,Non communicable disease: Neoplasm: Other specific unlisted,80,0,4,3,1,5,8,23,36
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,79,2,7,2,0,5,17,12,34
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,79,7,37,0,0,1,9,3,22
03-01-03,Non communicable disease: Cardiovascular disorder: Ischaemic heart disease,75,0,0,0,0,0,3,13,59
00-03-00,Unspecifiable: No significant pathology that would explain the death,65,6,1,1,1,1,5,3,47
03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,62,0,4,4,1,16,26,6,5
03-02-02,Non communicable disease: Respiratory disorder: Asthma,61,1,9,1,0,5,7,13,25
04-03-00,External cause: Drowning/submersion,57,0,15,12,3,6,13,5,3
04-05-00,External cause: Poisoning/exposure to noxious substance,55,0,4,2,0,9,21,14,5
03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,52,0,0,0,1,3,5,14,29
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,50,1,1,2,1,1,3,11,30
03-03-01,Non communicable disease: Gastro intestinal disorder: Peptic ulcer disease,48,0,0,0,0,1,16,10,21
00-02-00,Unspecifiable: Specific information missing on VAQ,47,4,4,0,0,0,7,4,28
03-01-99,Non communicable disease: Cardiovascular disorder: Other specific unlisted,47,2,5,1,1,3,9,7,19
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,46,3,3,4,2,8,9,5,12
04-08-00,External cause: Hanging,40,0,0,0,1,8,21,7,3
03-08-00,Non communicable disease: Anaemia: Unspecifiable,37,3,13,0,1,2,2,4,12
03-99-00,Non communicable disease: Other specific unlisted,35,0,8,1,1,4,4,5,12
03-06-07,Non communicable disease: Neoplasm: Oesophagus,35,0,0,0,0,0,2,9,24
04-06-00,External cause: Use of weapon,34,0,0,0,0,5,7,14,8
04-02-00,External cause: Fall,32,0,1,3,1,2,2,2,21
01-99-00,Communicable disease: Other specific unlisted,32,0,3,1,0,0,7,6,15
03-04-99,Non communicable disease: Central nervous system disorder: Other specific unlisted,31,1,9,0,2,0,1,2,16
01-01-06,Communicable disease: Acute febrile illness: Sepsis,30,5,10,0,0,0,3,5,7
01-04-03,Communicable disease: TB/AIDS: Extrapulmonary TB,29,0,0,2,0,1,9,10,7
05-08-00,Causes specific to infancy: Sudden infant death syndrome,28,27,1,0,0,0,0,0,0
05-04-00,Causes specific to infancy: Congenital abnormality,27,18,7,1,0,1,0,0,0
03-07-99,Non communicable disease: Genito urinary disorders: Other specific unlisted,27,0,1,1,0,0,3,2,20
03-06-01,Non communicable disease: Neoplasm: Breast,17,0,0,0,0,0,4,4,9
04-99-00,External cause: Other specific unlisted,16,1,2,2,0,2,5,1,3
02-03-00,Direct maternal cause: Ante postpartum haemorrhage,16,0,0,0,0,4,11,1,0
04-09-00,External cause: Choking,15,11,3,0,0,0,0,0,1
03-06-03,Non communicable disease: Neoplasm: Liver,15,0,0,0,0,0,5,5,5
03-04-01,Non communicable disease: Central nervous system disorder: Mental/behavioural disorder,13,0,0,0,0,2,2,3,6
03-03-99,Non communicable disease: Gastro intestinal disorder: Other specific unlisted,13,0,0,0,0,2,7,1,3
