age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
15-24,1,91,20,73,50,1
25-44,13,536,40,234,108,0
45-64,8,368,2,345,63,0
65+,76,329,0,1033,56,0
