cause_code,level2_name,total,15-24,25-44,45-64,65+
01-04,TB/AIDS,759,16.95,41.78,32.82,4.82
03-01,Cardiovascular disorder,716,4.66,3.65,14.76,37.15
01-01,Acute febrile illness,471,20.76,13.1,11.45,14.06
03-06,Neoplasm,292,4.66,4.4,11.45,10.04
03-03,Gastro intestinal disorder,291,7.2,9.99,8.14,7.83
03-05,Endocrine disorders,96,1.69,1.29,2.67,3.95
03-04,Central nervous system disorder,87,7.63,3.11,1.53,1.87
04-01,Transport,84,7.2,3.97,2.42,0.74
03-07,Genito urinary disorders,70,0.42,0.64,1.65,3.35
03-02,Respiratory disorder,68,2.12,1.07,2.16,2.41
00-03,No significant pathology that would explain the death,56,0.42,0.54,0.38,3.15
01-05,Diarrhoeal disease without fever,54,0.42,1.07,1.65,2.01
04-05,Poisoning/exposure to noxious substance,49,3.81,2.26,1.78,0.33
00-02,Specific information missing on VAQ,39,0.0,0.75,0.51,1.87
04-08,Hanging,39,3.39,2.26,0.89,0.2
04-06,Use of weapon,34,2.12,0.75,1.78,0.54
01-99,Other specific unlisted,28,0.0,0.75,0.76,1.0
04-02,Fall,27,0.85,0.21,0.25,1.41
04-03,Drowning/submersion,27,2.54,1.4,0.64,0.2
03-99,Other specific unlisted,25,1.69,0.43,0.64,0.8
03-08,Anaemia,24,0.85,0.32,0.76,0.87
02-03,Ante postpartum haemorrhage,16,1.69,1.18,0.13,0.0
03-09,Nutritional disorder,16,0.0,0.21,0.13,0.87
02-04,Obstructed labour,15,1.27,1.29,0.0,0.0
04-99,Other specific unlisted,11,0.85,0.54,0.13,0.2
01-03,Hepatitis,10,0.42,0.75,0.13,0.07
02-02,Eclampsia,8,2.12,0.32,0.0,0.0
02-05,Puerperal sepsis,7,1.69,0.32,0.0,0.0
02-99,Other specific unlisted,7,0.42,0.64,0.0,0.0
02-01,Abortion,5,0.85,0.21,0.13,0.0
02-06,Anaemia in pregnancy,3,0.42,0.21,0.0,0.0
04-07,Contact with venomous animals and plants,3,0.42,0.11,0.13,0.0
00-04,"Multiple significant pathology, single COD can't be isolated",2,0.0,0.11,0.0,0.07
01-06,Tetanus (exc. neonatal tetanus),1,0.0,0.11,0.0,0.0
00-01,No information (VAQ not available),1,0.0,0.0,0.13,0.0
02-00,Unspecifiable,1,0.0,0.11,0.0,0.0
01-07,Rabies,1,0.0,0.0,0.0,0.07
04-00,Unspecifiable,1,0.0,0.11,0.0,0.0
04-04,Exposure to smoke/fire/flames,1,0.0,0.0,0.0,0.07
04-09,Choking,1,0.0,0.0,0.0,0.07
05-04,Congenital abnormality,1,0.42,0.0,0.0,0.0
