evaluation,metric_type,comparison,level,class_metric_kind,class,support,tp,fp,fn,precision,recall,f1,cohen_kappa_one_vs_rest
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-01-05,0,0,6,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-01-06,0,0,3,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-01-99,0,0,6,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-03-00,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-04-00,3,0,0,3,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-04-01,0,0,9,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-04-02,26,15,6,11,0.7142857142857143,0.5769230769230769,0.6382978723404256,0.5940127817019841
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-04-03,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-04-99,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-05-00,1,0,12,1,0.0,0.0,,-0.008743169398907492
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,01-99-00,0,0,9,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,02-00-00,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,02-03-00,0,0,1,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-00-00,2,0,0,2,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-01-01,60,35,37,25,0.4861111111111111,0.5833333333333334,0.5303030303030304,0.32193468884781273
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-01-02,1,0,5,1,0.0,0.0,,-0.007886435331231312
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-01-03,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-01-04,18,3,12,15,0.2,0.16666666666666666,0.1818181818181818,0.11373092926490977
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-01-99,0,0,13,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-02-00,0,0,8,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-02-01,1,0,2,1,0.0,0.0,,-0.006299212598422824
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-02-02,2,1,3,1,0.25,0.5,0.3333333333333333,0.32488114104595667
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-02-99,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-03-00,1,0,1,1,0.0,0.0,,-0.00471698113209755
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-03-01,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-03-02,0,0,3,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-03-03,0,0,1,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-03-99,0,0,6,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-04-00,2,0,1,2,0.0,0.0,,-0.006299212598422824
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-04-01,1,1,6,0,0.14285714285714285,1.0,0.25,0.24378698224852155
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-04-02,7,3,3,4,0.5,0.42857142857142855,0.4615384615384615,0.4446927374301673
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-04-99,0,0,14,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-05-01,32,26,18,6,0.5909090909090909,0.8125,0.6842105263157896,0.6177086449297039
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-05-99,0,0,1,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-06-00,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-06-02,1,1,0,0,1.0,1.0,1.0,1.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-06-04,0,0,1,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-06-06,0,0,1,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-06-99,0,0,3,0,0.0,,,0.0
