evaluation,metric_type,comparison,level,class_metric_kind,class,support,tp,fp,fn,precision,recall,f1,cohen_kappa_one_vs_rest
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-01,26,6,2,20,0.75,0.23076923076923078,0.3529411764705882,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-02,2,1,21,1,0.045454545454545456,0.5,0.08333333333333334,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-03,5,2,0,3,1.0,0.4,0.5714285714285715,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-05-00,2,2,10,0,0.16666666666666666,1.0,0.2857142857142857,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,02-03-00,2,2,2,0,0.5,1.0,0.6666666666666666,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,02-05-00,2,0,0,2,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-00-00,3,0,0,3,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-00,4,0,0,4,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-01,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-02,31,18,2,13,0.9,0.5806451612903226,0.7058823529411764,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-03,4,3,4,1,0.42857142857142855,0.75,0.5454545454545454,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-04,41,25,8,16,0.7575757575757576,0.6097560975609756,0.6756756756756757,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-99,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-00,0,0,32,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-01,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-02,1,1,2,0,0.3333333333333333,1.0,0.5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-00,13,0,1,13,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-01,1,0,1,1,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-02,3,1,4,2,0.2,0.3333333333333333,0.25,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-03,2,2,11,0,0.15384615384615385,1.0,0.2666666666666667,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-99,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-00,2,0,1,2,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-01,1,1,0,0,1.0,1.0,1.0,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-02,1,1,6,0,0.14285714285714285,1.0,0.25,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-99,0,0,2,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-05-00,1,0,0,1,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-05-01,0,0,6,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-00,6,0,0,6,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-02,1,0,0,1,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-03,1,0,0,1,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-04,2,0,0,2,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-99,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-07-01,1,1,2,0,0.3333333333333333,1.0,0.5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-07-99,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-08-00,6,3,4,3,0.42857142857142855,0.5,0.4615384615384615,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-08-01,3,0,2,3,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-09-01,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-00-00,2,0,0,2,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-01-00,2,1,1,1,0.5,0.5,0.5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-02-00,1,0,1,1,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-03-00,2,2,0,0,1.0,1.0,1.0,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-05-00,4,1,0,3,1.0,0.25,0.4,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-06-00,1,1,1,0,0.5,1.0,0.6666666666666666,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-08-00,1,0,0,1,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-09-00,0,0,2,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,04-99-00,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,05-03-00,1,0,2,1,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,05-05-00,1,1,5,0,0.16666666666666666,1.0,0.2857142857142857,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,05-06-00,15,7,0,8,1.0,0.4666666666666667,0.6363636363636364,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,00-02,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,00-03,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,01-00,14,0,0,14,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,01-01,92,51,19,41,0.7285714285714285,0.5543478260869565,0.6296296296296297,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,01-03,3,0,2,3,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,01-04,36,18,14,18,0.5625,0.5,0.5294117647058824,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,01-05,2,2,10,0,0.16666666666666666,1.0,0.2857142857142857,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,02-03,2,2,2,0,0.5,1.0,0.6666666666666666,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,02-05,2,0,0,2,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-00,3,0,0,3,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-01,80,59,7,21,0.8939393939393939,0.7375,0.8082191780821918,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-02,1,1,35,0,0.027777777777777776,1.0,0.05405405405405406,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-03,19,16,5,3,0.7619047619047619,0.8421052631578947,0.8,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-04,4,2,9,2,0.18181818181818182,0.5,0.26666666666666666,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-05,1,1,5,0,0.16666666666666666,1.0,0.2857142857142857,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-06,10,2,1,8,0.6666666666666666,0.2,0.30769230769230765,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-07,1,1,3,0,0.25,1.0,0.4,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-08,9,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,03-09,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-00,2,0,0,2,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-01,2,1,1,1,0.5,0.5,0.5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-02,1,0,1,1,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-03,2,2,0,0,1.0,1.0,1.0,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-05,4,1,0,3,1.0,0.25,0.4,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-06,1,1,1,0,0.5,1.0,0.6666666666666666,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-08,1,0,0,1,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-09,0,0,2,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,04-99,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,05-03,1,0,2,1,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,05-05,1,1,5,0,0.16666666666666666,1.0,0.2857142857142857,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,single_label,05-06,15,7,0,8,1.0,0.4666666666666667,0.6363636363636364,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,single_label,00,0,0,4,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,single_label,01,147,97,19,50,0.8362068965517241,0.6598639455782312,0.7376425855513308,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,single_label,02,4,2,2,2,0.5,0.5,0.5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,single_label,03,128,110,49,18,0.6918238993710691,0.859375,0.7665505226480837,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,single_label,04,13,7,4,6,0.6363636363636364,0.5384615384615384,0.5833333333333334,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,single_label,05,17,15,0,2,1.0,0.8823529411764706,0.9375,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,00-02-00,0,0,8,0,0.0,,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,00-03-00,0,0,10,0,0.0,,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-00-00,27,0,0,27,,0.0,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-00,208,16,38,192,0.2962962962962963,0.07692307692307693,0.12213740458015268,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-01,188,142,222,46,0.3901098901098901,0.7553191489361702,0.5144927536231884,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-02,55,37,35,18,0.5138888888888888,0.6727272727272727,0.5826771653543307,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-03,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-04,200,130,75,70,0.6341463414634146,0.65,0.6419753086419754,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-05,68,22,42,46,0.34375,0.3235294117647059,0.33333333333333337,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-06,14,1,17,13,0.05555555555555555,0.07142857142857142,0.0625,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-99,0,0,32,0,0.0,,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-03-00,16,5,8,11,0.38461538461538464,0.3125,0.3448275862068966,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-00,40,1,1,39,0.5,0.025,0.047619047619047616,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-01,39,28,98,11,0.2222222222222222,0.717948717948718,0.3393939393939394,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-02,770,536,42,234,0.9273356401384083,0.6961038961038961,0.7952522255192879,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-03,26,8,9,18,0.47058823529411764,0.3076923076923077,0.372093023255814,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-05-00,52,39,72,13,0.35135135135135137,0.75,0.47852760736196326,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-07-00,3,3,0,0,1.0,1.0,1.0,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-99-00,0,0,26,0,0.0,,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-00-00,9,0,0,9,,0.0,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-01-00,6,4,1,2,0.8,0.6666666666666666,0.7272727272727272,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-02-00,4,4,1,0,0.8,1.0,0.888888888888889,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-03-00,17,12,1,5,0.9230769230769231,0.7058823529411765,0.8000000000000002,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-04-00,11,10,56,1,0.15151515151515152,0.9090909090909091,0.25974025974025977,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-05-00,6,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-06-00,1,0,1,1,0.0,0.0,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-99-00,0,0,7,0,0.0,,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-00-00,47,0,0,47,,0.0,,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-00,24,1,1,23,0.5,0.041666666666666664,0.07692307692307693,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-01,117,62,114,55,0.3522727272727273,0.5299145299145299,0.4232081911262799,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-02,131,49,21,82,0.7,0.37404580152671757,0.4875621890547263,
