cause_code,15-24,25-44,45-64,65+
01-04,-5.99,-12.32,-11.17,-1.0
01-01,7.82,4.91,4.41,0.32
03-01,1.13,2.22,2.39,-2.3
03-00,-0.59,-0.91,-1.03,-3.19
03-06,0.54,1.41,2.69,-0.95
00-03,0.42,0.54,0.38,3.15
03-99,1.69,0.43,0.64,0.8
04-00,-1.76,-0.8,-0.69,-0.11
01-00,-0.59,-0.52,-1.2,-0.88
03-03,0.14,1.41,1.1,-0.52
00-02,0.0,0.75,0.51,1.87
01-05,0.42,0.94,0.79,0.91
03-07,-0.76,0.51,0.62,1.15
04-06,1.53,-0.03,1.44,-0.01
02-00,-2.35,-0.54,0.0,0.0
01-03,-1.93,0.23,-0.39,0.07
01-99,0.0,0.75,0.76,1.0
03-05,1.1,-0.27,-0.25,-0.67
04-03,-1.58,-0.42,-0.05,-0.02
03-08,-0.91,-0.33,-0.44,-0.23
04-05,0.28,-0.47,-0.8,-0.33
03-04,-0.61,0.25,-0.53,0.33
04-99,0.85,0.54,0.13,0.2
04-08,0.45,0.57,0.2,-0.13
04-04,-1.18,0.0,0.0,0.07
04-01,-0.45,0.2,0.53,-0.03
02-03,-0.66,-0.38,0.13,0.0
03-02,0.36,0.29,-0.25,0.21
02-99,0.42,0.64,0.0,0.0
02-02,0.94,0.06,0.0,0.0
04-02,0.26,-0.05,-0.09,0.31
04-07,0.42,0.11,0.13,0.0
02-01,-0.33,-0.18,-0.04,0.0
02-06,0.42,0.08,0.0,0.0
05-04,0.42,0.0,0.0,0.0
03-09,0.0,0.08,-0.04,-0.12
02-04,0.09,0.12,0.0,0.0
00-04,0.0,0.11,0.0,0.07
02-05,-0.07,-0.07,0.0,0.0
00-01,0.0,0.0,0.13,0.0
01-06,0.0,0.11,0.0,0.0
04-09,0.0,0.0,0.0,0.07
01-07,0.0,0.0,0.0,-0.04
