cause_code,level2_name,total,15-24,25-44,45-64,65+
01-04,TB/AIDS,759,40,389,258,72
03-01,Cardiovascular disorder,716,11,34,116,555
01-01,Acute febrile illness,471,49,122,90,210
03-06,Neoplasm,292,11,41,90,150
03-03,Gastro intestinal disorder,291,17,93,64,117
03-05,Endocrine disorders,96,4,12,21,59
03-04,Central nervous system disorder,87,18,29,12,28
04-01,Transport,84,17,37,19,11
03-07,Genito urinary disorders,70,1,6,13,50
03-02,Respiratory disorder,68,5,10,17,36
00-03,No significant pathology that would explain the death,56,1,5,3,47
01-05,Diarrhoeal disease without fever,54,1,10,13,30
04-05,Poisoning/exposure to noxious substance,49,9,21,14,5
00-02,Specific information missing on VAQ,39,0,7,4,28
04-08,Hanging,39,8,21,7,3
04-06,Use of weapon,34,5,7,14,8
01-99,Other specific unlisted,28,0,7,6,15
04-02,Fall,27,2,2,2,21
04-03,Drowning/submersion,27,6,13,5,3
03-99,Other specific unlisted,25,4,4,5,12
03-08,Anaemia,24,2,3,6,13
02-03,Ante postpartum haemorrhage,16,4,11,1,0
03-09,Nutritional disorder,16,0,2,1,13
02-04,Obstructed labour,15,3,12,0,0
04-99,Other specific unlisted,11,2,5,1,3
01-03,Hepatitis,10,1,7,1,1
02-02,Eclampsia,8,5,3,0,0
02-05,Puerperal sepsis,7,4,3,0,0
02-99,Other specific unlisted,7,1,6,0,0
02-01,Abortion,5,2,2,1,0
02-06,Anaemia in pregnancy,3,1,2,0,0
04-07,Contact with venomous animals and plants,3,1,1,1,0
00-04,"Multiple significant pathology, single COD can't be isolated",2,0,1,0,1
01-06,Tetanus (exc. neonatal tetanus),1,0,1,0,0
00-01,No information (VAQ not available),1,0,0,1,0
02-00,Unspecifiable,1,0,1,0,0
01-07,Rabies,1,0,0,0,1
04-00,Unspecifiable,1,0,1,0,0
04-04,Exposure to smoke/fire/flames,1,0,0,0,1
04-09,Choking,1,0,0,0,1
05-04,Congenital abnormality,1,1,0,0,0
