experiment,level,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
EXP1,level3,3584,3584,87,0.5301339285714286,0.7349330357142857,0.7349330357142857
EXP1,level2,3584,3584,47,0.23995535714285715,0.8800223214285714,0.8800223214285714
EXP1,level1,3584,3584,6,0.05691964285714289,0.9715401785714286,0.9715401785714286
