age_group,Unspecifiable,Communicable disease,Non communicable disease,External cause,Causes specific to infancy
0,0.53,75.4,7.49,2.14,14.44
1-4,0.77,74.15,18.15,5.38,1.54
5-9,0.61,60.98,18.29,18.29,1.83
10-14,2.22,53.33,28.89,15.56,0.0
15,0.0,100.0,0.0,0.0,0.0
