cause_code,15-24,25-44,45-64,65+
01-04-02,-6.7,-12.75,-13.03,-1.29
01-01-01,7.99,3.65,3.55,1.05
03-03-00,-3.53,-3.95,-2.41,-4.29
03-01-02,-0.49,0.29,-2.94,-6.87
03-03-02,2.05,2.49,3.5,1.85
01-04-01,2.63,2.54,2.83,1.13
03-01-01,0.68,0.3,4.03,3.96
03-06-00,-3.53,-0.54,-1.34,-3.17
03-06-99,2.12,0.86,2.93,2.41
01-01-00,-5.37,-0.8,-0.88,-1.27
01-01-99,3.39,0.97,0.64,0.8
03-00-00,-0.59,-0.91,-1.03,-3.19
03-04-00,-2.35,-0.52,-1.24,-0.48
01-04-00,-1.18,-2.02,-1.03,-0.33
00-03-00,0.42,0.54,0.38,3.15
03-01-99,1.27,0.97,0.89,1.27
03-01-03,0.0,0.19,0.96,2.74
03-03-01,0.42,1.33,0.93,0.97
03-99-00,1.69,0.43,0.64,0.8
04-00-00,-1.76,-0.8,-0.69,-0.11
03-01-04,0.42,0.49,0.3,-1.99
01-00-00,-0.59,-0.52,-1.2,-0.88
00-02-00,0.0,0.75,0.51,1.87
03-01-00,-0.76,-0.02,-0.86,-1.43
01-05-00,0.42,0.94,0.79,0.91
04-06-00,1.53,-0.03,1.44,-0.01
03-06-07,0.0,0.21,1.15,1.61
03-03-03,0.36,0.79,-1.05,0.74
02-00-00,-2.35,-0.54,0.0,0.0
03-07-00,-1.18,-0.13,-0.34,-1.1
01-03-00,-1.93,0.23,-0.39,0.07
01-01-04,0.85,0.33,0.64,-0.69
01-99-00,0.0,0.75,0.76,1.0
03-05-01,1.1,-0.27,-0.5,-0.63
03-04-02,1.49,0.58,0.24,0.11
01-01-02,1.72,0.12,0.29,0.25
03-06-04,1.27,0.28,0.23,-0.59
03-07-01,0.42,0.32,0.71,0.91
03-06-02,0.26,0.59,-0.3,-1.13
04-03-00,-1.58,-0.42,-0.05,-0.02
03-03-99,0.85,0.75,0.13,0.2
03-07-99,0.0,0.32,0.25,1.34
04-05-00,0.28,-0.47,-0.8,-0.33
04-99-00,0.85,0.54,0.13,0.2
03-08-00,-0.33,-0.18,-0.69,-0.3
03-04-99,0.0,0.11,0.25,1.07
01-04-03,-0.76,-0.07,0.07,-0.52
04-08-00,0.45,0.57,0.2,-0.13
03-02-02,0.36,0.1,-0.41,0.46
01-01-06,-0.59,0.19,0.12,-0.41
01-01-05,-0.17,0.45,0.04,0.59
04-04-00,-1.18,0.0,0.0,0.07
04-01-00,-0.45,0.2,0.53,-0.03
02-03-00,-0.66,-0.38,0.13,0.0
03-02-00,0.0,0.19,-0.17,-0.75
02-99-00,0.42,0.64,0.0,0.0
02-02-00,0.94,0.06,0.0,0.0
03-04-01,0.26,0.08,0.21,-0.37
03-08-01,-0.59,-0.26,0.0,0.0
04-02-00,0.26,-0.05,-0.09,0.31
03-06-06,0.42,0.0,0.0,0.27
03-06-03,0.0,-0.24,0.12,-0.33
04-07-00,0.42,0.11,0.13,0.0
03-02-01,0.0,0.0,0.21,0.43
02-01-00,-0.33,-0.18,-0.04,0.0
02-06-00,0.42,0.08,0.0,0.0
03-08-99,0.0,0.11,0.25,0.07
05-04-00,0.42,0.0,0.0,0.0
03-09-00,0.0,-0.13,0.0,-0.22
03-09-01,0.0,0.21,-0.04,0.1
03-06-01,0.0,0.17,-0.01,-0.06
03-05-00,0.0,0.0,0.13,-0.11
02-04-00,0.09,0.12,0.0,0.0
03-05-99,0.0,0.0,0.13,0.07
03-02-99,0.0,0.0,0.13,0.07
03-06-05,0.0,0.08,-0.09,0.03
00-04-00,0.0,0.11,0.0,0.07
02-05-00,-0.07,-0.07,0.0,0.0
00-01-00,0.0,0.0,0.13,0.0
01-06-00,0.0,0.11,0.0,0.0
04-09-00,0.0,0.0,0.0,0.07
01-07-00,0.0,0.0,0.0,-0.04
