cause_code,level2_name,total,0,1-4,5-9,10-14
01-01,Acute febrile illness,566,60.43,54.15,50.0,42.22
01-05,Diarrhoeal disease without fever,87,6.42,11.08,1.83,0.0
01-04,TB/AIDS,86,8.02,8.15,7.93,11.11
03-09,Nutritional disorder,64,3.21,6.92,6.71,4.44
04-03,Drowning/submersion,30,0.0,2.31,7.32,6.67
03-04,Central nervous system disorder,22,0.53,2.15,2.44,6.67
03-08,Anaemia,21,1.6,2.62,0.0,2.22
03-06,Neoplasm,14,0.0,1.08,2.44,6.67
04-01,Transport,14,0.0,0.77,4.88,2.22
03-03,Gastro intestinal disorder,13,0.53,1.23,2.44,0.0
03-02,Respiratory disorder,12,0.53,1.54,0.61,0.0
03-01,Cardiovascular disorder,12,1.07,0.92,1.22,4.44
05-04,Congenital abnormality,11,1.6,1.08,0.61,0.0
03-99,Other specific unlisted,10,0.0,1.23,0.61,2.22
05-08,Sudden infant death syndrome,9,4.28,0.15,0.0,0.0
05-06,Neonatal sepsis,7,3.21,0.15,0.0,0.0
03-07,Genito urinary disorders,6,0.0,0.31,1.83,2.22
05-03,Prematurity/low birth weight,6,3.21,0.0,0.0,0.0
04-09,Choking,6,1.6,0.46,0.0,0.0
04-05,Poisoning/exposure to noxious substance,6,0.0,0.62,1.22,0.0
04-99,Other specific unlisted,5,0.53,0.31,1.22,0.0
04-07,Contact with venomous animals and plants,5,0.0,0.31,1.22,2.22
04-02,Fall,5,0.0,0.15,1.83,2.22
00-02,Specific information missing on VAQ,4,0.0,0.62,0.0,0.0
00-03,No significant pathology that would explain the death,4,0.53,0.15,0.61,2.22
01-99,Other specific unlisted,4,0.0,0.46,0.61,0.0
04-04,Exposure to smoke/fire/flames,4,0.0,0.46,0.61,0.0
05-99,Other specific unlisted,3,1.07,0.15,0.0,0.0
05-05,Birth injury/asphyxia,3,0.53,0.0,1.22,0.0
01-03,Hepatitis,2,0.53,0.15,0.0,0.0
01-07,Rabies,2,0.0,0.15,0.61,0.0
03-05,Endocrine disorders,1,0.0,0.15,0.0,0.0
04-08,Hanging,1,0.0,0.0,0.0,2.22
05-00,Unspecifiable,1,0.53,0.0,0.0,0.0
