cause_code,0,1-4,5-9,10-14
01-04,-4.72,-7.42,-8.5,-12.42
01-01,-0.08,-3.98,7.86,12.81
01-05,3.24,5.72,1.83,0.0
04-00,-2.55,-1.21,-0.71,-5.88
03-09,-0.61,1.38,1.0,4.44
03-01,1.07,0.57,-0.21,4.44
03-03,-0.74,0.71,-1.85,-2.94
03-04,-0.11,0.77,1.01,3.73
01-00,-1.27,-1.21,0.0,-2.94
03-00,0.0,0.0,-1.43,-2.94
03-06,0.0,0.21,1.73,-2.15
03-99,0.0,1.23,0.61,2.22
03-08,0.33,-0.15,-2.86,-0.72
05-04,-2.22,-0.48,-0.82,0.0
00-03,0.53,0.15,0.61,2.22
05-03,3.21,0.0,0.0,0.0
04-03,0.0,0.23,0.18,-2.15
05-08,2.37,0.15,0.0,0.0
04-07,0.0,-0.04,-0.21,2.22
04-08,0.0,0.0,0.0,2.22
04-99,0.53,0.31,1.22,0.0
05-00,-2.02,0.0,0.0,0.0
03-07,0.0,0.14,1.12,-0.72
04-05,0.0,0.27,-1.64,0.0
04-09,1.6,0.29,0.0,0.0
04-01,0.0,0.42,0.59,-0.72
05-05,-0.11,0.0,1.22,0.0
05-99,1.07,0.15,0.0,0.0
01-99,0.0,0.46,0.61,0.0
04-02,0.0,-0.02,-0.31,-0.72
03-02,0.53,0.33,-0.1,0.0
01-03,-0.11,-0.02,-0.71,0.0
00-02,0.0,0.62,0.0,0.0
04-04,0.0,0.11,-0.1,0.0
05-06,0.03,0.15,0.0,0.0
03-05,0.0,0.15,0.0,0.0
01-07,0.0,-0.02,-0.1,0.0
