cause_code,level2_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-01,Acute febrile illness,1080,156,352,82,19,49,122,90,210
01-04,TB/AIDS,845,15,53,13,5,40,389,258,72
03-01,Cardiovascular disorder,728,2,6,2,2,11,34,116,555
03-06,Neoplasm,306,0,7,4,3,11,41,90,150
03-03,Gastro intestinal disorder,305,2,8,4,0,17,93,64,117
05-03,Prematurity/low birth weight,171,171,0,0,0,0,0,0,0
05-05,Birth injury/asphyxia,154,152,0,2,0,0,0,0,0
01-05,Diarrhoeal disease without fever,141,12,72,3,0,1,10,13,30
05-06,Neonatal sepsis,117,116,1,0,0,0,0,0,0
03-04,Central nervous system disorder,109,1,14,4,3,18,29,12,28
04-01,Transport,98,0,5,8,1,17,37,19,11
03-05,Endocrine disorders,97,0,1,0,0,4,12,21,59
02-04,Obstructed labour,86,71,0,0,0,3,12,0,0
03-09,Nutritional disorder,82,8,45,11,2,0,2,1,13
03-02,Respiratory disorder,80,1,10,1,0,5,10,17,36
03-07,Genito urinary disorders,77,1,2,3,1,1,6,13,50
00-03,No significant pathology that would explain the death,65,6,1,1,1,1,5,3,47
04-03,Drowning/submersion,57,0,15,12,3,6,13,5,3
04-05,Poisoning/exposure to noxious substance,55,0,4,2,0,9,21,14,5
00-02,Specific information missing on VAQ,47,4,4,0,0,0,7,4,28
03-08,Anaemia,45,3,17,0,1,2,3,6,13
04-08,Hanging,40,0,0,0,1,8,21,7,3
03-99,Other specific unlisted,35,0,8,1,1,4,4,5,12
04-06,Use of weapon,34,0,0,0,0,5,7,14,8
04-02,Fall,32,0,1,3,1,2,2,2,21
01-99,Other specific unlisted,32,0,3,1,0,0,7,6,15
05-08,Sudden infant death syndrome,28,27,1,0,0,0,0,0,0
05-04,Congenital abnormality,27,18,7,1,0,1,0,0,0
02-03,Ante postpartum haemorrhage,16,0,0,0,0,4,11,1,0
04-99,Other specific unlisted,16,1,2,2,0,2,5,1,3
04-09,Choking,15,11,3,0,0,0,0,0,1
01-03,Hepatitis,12,1,1,0,0,1,7,1,1
05-00,Unspecifiable,11,11,0,0,0,0,0,0,0
02-02,Eclampsia,10,2,0,0,0,5,3,0,0
05-99,Other specific unlisted,9,8,1,0,0,0,0,0,0
04-07,Contact with venomous animals and plants,8,0,2,2,1,1,1,1,0
02-99,Other specific unlisted,7,0,0,0,0,1,6,0,0
02-05,Puerperal sepsis,7,0,0,0,0,4,3,0,0
04-04,Exposure to smoke/fire/flames,5,0,3,1,0,0,0,0,1
02-01,Abortion,5,0,0,0,0,2,2,1,0
01-07,Rabies,3,0,1,1,0,0,0,0,1
02-06,Anaemia in pregnancy,3,0,0,0,0,1,2,0,0
00-04,"Multiple significant pathology, single COD can't be isolated",2,0,0,0,0,0,1,0,1
00-01,No information (VAQ not available),1,0,0,0,0,0,0,1,0
01-06,Tetanus (exc. neonatal tetanus),1,0,0,0,0,0,1,0,0
02-00,Unspecifiable,1,0,0,0,0,0,1,0,0
04-00,Unspecifiable,1,0,0,0,0,0,1,0,0
05-09,Neonatal tetanus,1,1,0,0,0,0,0,0,0
