evaluation,metric_type,comparison,level,n_compared,n_agree,accuracy,n_any_overlap,any_overlap,cohen_kappa,cohen_kappa_weighted_by_support,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_excluded_blank_reference
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,309,115,0.37216828478964403,,,0.34654501455247066,,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.2307695037203234,0.28699404409978246,0.21381104827026767,0.5091262566990723,0.37216828478964403,0.39733312746876753,4219
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,309,172,0.5566343042071198,,,0.48275356475202524,,0.5566343042071198,0.5566343042071198,0.5566343042071198,0.30702008564911787,0.4191956193663214,0.28925670555209687,0.676725881094813,0.5566343042071198,0.5913535248798333,4219
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,309,231,0.7475728155339806,,,0.5820196659903232,,0.7475728155339806,0.7475728155339806,0.7475728155339806,0.6107324053810715,0.5733422375360401,0.5875044069221246,0.7726491915382769,0.7475728155339806,0.7510445317421801,4219
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,3584,1968,0.5491071428571429,,,0.5228194575341215,,0.5491071428571429,0.5491071428571429,0.5491071428571429,0.35756117645141117,0.3932183020544862,0.3423424323474955,0.6132222142974152,0.5491071428571429,0.549295465138518,944
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,level2,3584,2611,0.728515625,,,0.6910917113115894,,0.728515625,0.728515625,0.728515625,0.4777779384226152,0.5209638317446971,0.4736816911812717,0.7506102584777224,0.728515625,0.7308525180346856,944
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,level1,3584,3112,0.8683035714285714,,,0.7986578922593202,,0.8683035714285714,0.8683035714285714,0.8683035714285714,0.6793535415448341,0.7182922267973324,0.6860997679989893,0.8803307849563148,0.8683035714285714,0.8724536680193788,944
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,213,26,0.12206572769953052,97.0,0.45539906103286387,0.07092200003188628,0.3171936083170201,0.2068230277185501,0.45539906103286387,0.28445747800586507,0.07453089056537332,0.10494153282614821,0.08119042851577954,0.38078537403452417,0.45539906103286387,0.4048845517506306,4315
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,213,40,0.18779342723004694,135.0,0.6338028169014085,0.1167559841354868,0.4156112851824404,0.3054298642533937,0.6338028169014085,0.4122137404580153,0.11595599102826558,0.20684624723503225,0.13987423646225822,0.47299603856792105,0.6338028169014085,0.5289773068868695,4315
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,213,110,0.5164319248826291,186.0,0.8732394366197183,0.21103930892943365,0.3549987304659417,0.6305084745762712,0.8732394366197183,0.7322834645669292,0.2702194357366771,0.4002860222185376,0.31513538855131806,0.7194004150293611,0.8732394366197183,0.7781288286409727,4315
