evaluation,experiment,comparison,level,n_excluded_blank_reference,n_compared,n_exact_set_agree,exact_set_agreement,n_any_overlap,any_overlap,cohen_kappa,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,929,3599,249,0.06918588496804667,2604,0.7235343150875243,0.26382087676613714,0.25207586749410016,0.7065164135227829,0.3715776589576757,0.23063966577030334,0.4470899783030605,0.27110170286428864,0.46048352035293955,0.7065164135227829,0.5173690142430606
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,level2,929,3599,552,0.15337593776048902,3143,0.87329813837177,0.3340191063660966,0.34500357252220065,0.8591764107778342,0.4923166557424805,0.29266720839868426,0.5568501268303467,0.34572083893536143,0.5342586742173987,0.8591764107778342,0.626355780290485
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,level1,929,3599,1472,0.4090025006946374,3512,0.9758266185051403,0.459562374828827,0.6111389027847257,0.9711181770005299,0.750179101422577,0.4611401927943904,0.6826416748119079,0.5338114518438399,0.6787451596207632,0.9711181770005299,0.7884002094827819
