cause_code,level2_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-01,Acute febrile illness,1080,19.48,54.15,50.0,42.22,20.76,13.1,11.45,14.06
01-04,TB/AIDS,845,1.87,8.15,7.93,11.11,16.95,41.78,32.82,4.82
03-01,Cardiovascular disorder,728,0.25,0.92,1.22,4.44,4.66,3.65,14.76,37.15
03-06,Neoplasm,306,0.0,1.08,2.44,6.67,4.66,4.4,11.45,10.04
03-03,Gastro intestinal disorder,305,0.25,1.23,2.44,0.0,7.2,9.99,8.14,7.83
05-03,Prematurity/low birth weight,171,21.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-05,Birth injury/asphyxia,154,18.98,0.0,1.22,0.0,0.0,0.0,0.0,0.0
01-05,Diarrhoeal disease without fever,141,1.5,11.08,1.83,0.0,0.42,1.07,1.65,2.01
05-06,Neonatal sepsis,117,14.48,0.15,0.0,0.0,0.0,0.0,0.0,0.0
03-04,Central nervous system disorder,109,0.12,2.15,2.44,6.67,7.63,3.11,1.53,1.87
04-01,Transport,98,0.0,0.77,4.88,2.22,7.2,3.97,2.42,0.74
03-05,Endocrine disorders,97,0.0,0.15,0.0,0.0,1.69,1.29,2.67,3.95
02-04,Obstructed labour,86,8.86,0.0,0.0,0.0,1.27,1.29,0.0,0.0
03-09,Nutritional disorder,82,1.0,6.92,6.71,4.44,0.0,0.21,0.13,0.87
03-02,Respiratory disorder,80,0.12,1.54,0.61,0.0,2.12,1.07,2.16,2.41
03-07,Genito urinary disorders,77,0.12,0.31,1.83,2.22,0.42,0.64,1.65,3.35
00-03,No significant pathology that would explain the death,65,0.75,0.15,0.61,2.22,0.42,0.54,0.38,3.15
04-03,Drowning/submersion,57,0.0,2.31,7.32,6.67,2.54,1.4,0.64,0.2
04-05,Poisoning/exposure to noxious substance,55,0.0,0.62,1.22,0.0,3.81,2.26,1.78,0.33
00-02,Specific information missing on VAQ,47,0.5,0.62,0.0,0.0,0.0,0.75,0.51,1.87
03-08,Anaemia,45,0.37,2.62,0.0,2.22,0.85,0.32,0.76,0.87
04-08,Hanging,40,0.0,0.0,0.0,2.22,3.39,2.26,0.89,0.2
03-99,Other specific unlisted,35,0.0,1.23,0.61,2.22,1.69,0.43,0.64,0.8
04-06,Use of weapon,34,0.0,0.0,0.0,0.0,2.12,0.75,1.78,0.54
04-02,Fall,32,0.0,0.15,1.83,2.22,0.85,0.21,0.25,1.41
01-99,Other specific unlisted,32,0.0,0.46,0.61,0.0,0.0,0.75,0.76,1.0
05-08,Sudden infant death syndrome,28,3.37,0.15,0.0,0.0,0.0,0.0,0.0,0.0
05-04,Congenital abnormality,27,2.25,1.08,0.61,0.0,0.42,0.0,0.0,0.0
02-03,Ante postpartum haemorrhage,16,0.0,0.0,0.0,0.0,1.69,1.18,0.13,0.0
04-99,Other specific unlisted,16,0.12,0.31,1.22,0.0,0.85,0.54,0.13,0.2
04-09,Choking,15,1.37,0.46,0.0,0.0,0.0,0.0,0.0,0.07
01-03,Hepatitis,12,0.12,0.15,0.0,0.0,0.42,0.75,0.13,0.07
05-00,Unspecifiable,11,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-02,Eclampsia,10,0.25,0.0,0.0,0.0,2.12,0.32,0.0,0.0
05-99,Other specific unlisted,9,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
04-07,Contact with venomous animals and plants,8,0.0,0.31,1.22,2.22,0.42,0.11,0.13,0.0
02-99,Other specific unlisted,7,0.0,0.0,0.0,0.0,0.42,0.64,0.0,0.0
02-05,Puerperal sepsis,7,0.0,0.0,0.0,0.0,1.69,0.32,0.0,0.0
04-04,Exposure to smoke/fire/flames,5,0.0,0.46,0.61,0.0,0.0,0.0,0.0,0.07
02-01,Abortion,5,0.0,0.0,0.0,0.0,0.85,0.21,0.13,0.0
01-07,Rabies,3,0.0,0.15,0.61,0.0,0.0,0.0,0.0,0.07
02-06,Anaemia in pregnancy,3,0.0,0.0,0.0,0.0,0.42,0.21,0.0,0.0
00-04,"Multiple significant pathology, single COD can't be isolated",2,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.07
00-01,No information (VAQ not available),1,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
01-06,Tetanus (exc. neonatal tetanus),1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
02-00,Unspecifiable,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
04-00,Unspecifiable,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
05-09,Neonatal tetanus,1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
