experiment,coding_level,n,strict_accuracy,strict_kappa,f1_macro,f1_weighted,flexible_overlap,jaccard_similarity,csmf_accuracy
EXP1,Level 1,3866,0.865,0.797,0.683,0.87,0.973,0.688,0.974
EXP1,Level 2,3866,0.725,0.688,0.453,0.73,0.868,0.427,0.882
EXP1,Level 3,3866,0.55,0.525,0.336,0.554,0.723,0.303,0.742
EXP2,Level 1,3866,0.815,0.718,0.559,0.823,0.921,0.652,0.929
EXP2,Level 2,3866,0.598,0.542,0.305,0.61,0.73,0.387,0.809
EXP2,Level 3,3866,0.447,0.415,0.248,0.467,0.589,0.27,0.726
EXP3,Level 1,3866,0.785,0.689,0.56,0.821,0.868,0.662,0.944
EXP3,Level 2,3866,0.638,0.596,0.386,0.669,0.749,0.444,0.86
EXP3,Level 3,3866,0.473,0.45,0.308,0.502,0.617,0.318,0.709
EXP4,Level 1,3866,0.81,0.71,0.555,0.821,0.926,0.652,0.911
EXP4,Level 2,3866,0.601,0.544,0.298,0.612,0.746,0.376,0.811
EXP4,Level 3,3866,0.447,0.414,0.242,0.462,0.606,0.256,0.724
