evaluation,metric_type,comparison,level,n_compared,n_agree,accuracy,n_any_overlap,any_overlap,cohen_kappa,cohen_kappa_weighted_by_support,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_excluded_blank_reference
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying,EXP4_underlying vs PHY_underlying,full,3866,1729,0.4472322814278324,,,0.4138553515083414,,0.4472322814278324,0.4472322814278324,0.4472322814278324,0.29568450266009505,0.25199164850967737,0.242269350246036,0.5483066287549481,0.4472322814278324,0.4624765231325556,1284
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying,EXP4_underlying vs PHY_underlying,level2,3866,2323,0.6008794619762028,,,0.5440188824451905,,0.6008794619762028,0.6008794619762028,0.6008794619762028,0.3742136774444046,0.29113483803892215,0.29758114120907075,0.6746414710169454,0.6008794619762028,0.6120568902544198,1284
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying,EXP4_underlying vs PHY_underlying,level1,3866,3131,0.8098810139679256,,,0.7104684322035411,,0.8098810139679256,0.8098810139679256,0.8098810139679256,0.576799019602153,0.5451070929204475,0.5553795060677263,0.8425111303851032,0.8098810139679256,0.8207861150523579,1284
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory,EXP4_contrib_set vs PHY_contrib,full,257,16,0.0622568093385214,134.0,0.5214007782101168,0.04970283605288927,0.316586363820985,0.22259136212624583,0.5214007782101168,0.3119906868451688,0.05270933867899337,0.09277463314059203,0.06048886520325556,0.3775389552357845,0.5214007782101168,0.41362198018298774,4893
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory,EXP4_contrib_set vs PHY_contrib,level2,257,27,0.10505836575875487,164.0,0.6381322957198443,0.08210221284574869,0.3793945561462376,0.2918149466192171,0.6381322957198443,0.4004884004884005,0.08664819376026273,0.18659805048687433,0.1065316390457691,0.44714642666405086,0.6381322957198443,0.510433698694205,4893
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory,EXP4_contrib_set vs PHY_contrib,level1,257,121,0.4708171206225681,209.0,0.8132295719844358,0.09115525590596249,0.21796365696882133,0.5988538681948424,0.8132295719844358,0.6897689768976897,0.30121662231753976,0.2403936822253654,0.21093259999035077,0.7263337692781165,0.8132295719844358,0.7455310738695126,4893
Evaluation 4: EXP2 vs EXP4 vs PHY,direct_llm_pair,EXP2_direct vs EXP4_direct,full,5143,2729,0.5306241493291853,,,0.5040793453746155,,0.5306241493291853,0.5306241493291853,0.5306241493291853,0.4067793807917014,0.4468744317900167,0.41041101470963365,0.5387306033416409,0.5306241493291853,0.5283949181857946,7
Evaluation 4: EXP2 vs EXP4 vs PHY,direct_llm_pair,EXP2_direct vs EXP4_direct,level2,5143,3101,0.6029554734590706,,,0.5553610525887503,,0.6029554734590706,0.6029554734590706,0.6029554734590706,0.4560412709958183,0.5038332859927153,0.4646288810775189,0.6102989736215357,0.6029554734590706,0.603423402952039,7
Evaluation 4: EXP2 vs EXP4 vs PHY,direct_llm_pair,EXP2_direct vs EXP4_direct,level1,5143,3722,0.7237021193855726,,,0.6232983693004327,,0.7237021193855726,0.7237021193855726,0.7237021193855726,0.6045263581578195,0.6271389990974556,0.6148805289993468,0.7287717988188663,0.7237021193855726,0.7259543593241837,7
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying_llm_pair,EXP2_underlying vs EXP4_underlying,full,5145,3525,0.685131195335277,,,0.6700421606856555,,0.685131195335277,0.685131195335277,0.685131195335277,0.5257223136785855,0.5662057864867424,0.5290331250287839,0.7057979058094028,0.685131195335277,0.6892003837998981,5
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying_llm_pair,EXP2_underlying vs EXP4_underlying,level2,5145,4000,0.7774538386783285,,,0.7474694107493127,,0.7774538386783285,0.7774538386783285,0.7774538386783285,0.5786565745598566,0.6149682788910739,0.5839537057189313,0.7859452756232972,0.7774538386783285,0.7786693475040831,5
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying_llm_pair,EXP2_underlying vs EXP4_underlying,level1,5145,4537,0.8818270165208941,,,0.8241371156611494,,0.8818270165208941,0.8818270165208941,0.8818270165208941,0.7078255635369792,0.7198732170845453,0.7116074418529632,0.8840591910586912,0.8818270165208941,0.8818638607209589,5
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory_llm_pair,EXP2_contrib_set vs EXP4_contrib_set,full,4032,776,0.19246031746031747,2684.0,0.6656746031746031,0.2336540244030314,0.45968599061170895,0.509788668481784,0.4779384951987359,0.4933500627352572,0.28481594482605044,0.22624875958975493,0.24461064683863948,0.5316845938804771,0.4779384951987359,0.4980305969489508,1118
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory_llm_pair,EXP2_contrib_set vs EXP4_contrib_set,level2,4032,1125,0.27901785714285715,3036.0,0.7529761904761905,0.23805249135766146,0.5445453363017332,0.6230990546650226,0.5914174252275682,0.6068450196810995,0.29614796302585367,0.23371537131913547,0.25452654552804854,0.6588062738012043,0.5914174252275682,0.6196521151560768,1118
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory_llm_pair,EXP2_contrib_set vs EXP4_contrib_set,level1,4032,2334,0.5788690476190477,3302.0,0.8189484126984127,0.32474456819124786,0.5355893956878137,0.7663389242336611,0.75,0.7580814341565748,0.4766623824528694,0.34726544713336366,0.3954584204730296,0.8362971851810318,0.75,0.788577839604453,1118
