age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
0,1.35,21.5,5.56,3.01,1.05,67.52
1-4,0.84,73.4,0.0,19.36,4.71,1.68
5-9,0.7,61.97,0.0,17.61,17.61,2.11
10-14,4.23,40.85,0.0,33.8,21.13,0.0
15-24,1.91,35.41,9.57,33.49,19.62,0.0
25-44,1.29,53.04,4.79,30.26,10.4,0.23
45-64,1.42,42.25,0.57,47.65,8.11,0.0
65+,5.23,18.49,0.0,71.68,4.52,0.08
