cause_code,0,1-4,5-9,10-14
01-04,-10.36,-8.84,-8.68,-13.27
01-01,-4.56,-3.42,9.27,11.62
01-05,5.75,6.09,1.41,0.0
04-00,-2.55,-1.21,-0.71,-5.88
03-09,-0.25,1.7,0.63,5.13
00-02,2.38,0.84,0.7,2.56
01-00,-1.27,-1.21,0.0,-2.94
05-03,4.76,0.0,0.0,0.0
03-00,0.0,0.0,-1.43,-2.94
04-05,0.0,0.16,-1.45,2.56
03-07,0.6,0.34,-0.71,2.19
03-03,-0.08,0.83,-1.47,-0.38
04-07,0.0,-0.18,-0.02,2.56
01-99,1.19,0.0,1.41,0.0
04-08,0.0,0.0,0.0,2.56
05-00,-2.55,0.0,0.0,0.0
03-02,0.6,0.31,1.4,0.0
05-08,2.26,0.0,0.0,0.0
05-05,-0.64,0.17,1.41,0.0
03-08,-0.08,0.26,-1.45,-0.38
03-06,0.0,0.31,0.7,-1.13
03-01,0.6,0.83,0.68,0.0
04-99,0.6,0.34,0.7,0.0
03-99,0.6,1.01,0.0,0.0
04-09,1.19,0.34,0.0,0.0
01-03,0.55,0.17,-0.71,0.0
04-03,0.0,0.11,-0.1,-1.13
03-04,-0.04,0.81,-0.02,-0.38
05-99,1.19,0.0,0.0,0.0
05-04,-0.25,-0.04,-0.73,0.0
05-06,-0.8,0.0,0.0,0.0
01-07,0.0,0.0,-0.71,0.0
00-04,0.6,0.0,0.0,0.0
00-03,0.6,0.0,0.0,0.0
04-01,0.0,0.16,-0.06,-0.38
04-02,0.0,0.0,-0.03,-0.38
03-05,0.0,0.17,0.0,0.0
04-04,0.0,-0.01,-0.01,0.0
