cause_code,level2_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-01,Acute febrile illness,941,17.74,54.71,51.41,41.03,17.48,15.19,12.38,12.17
03-01,Cardiovascular disorder,653,0.15,1.18,2.11,0.0,5.34,5.14,16.22,36.9
01-04,TB/AIDS,632,0.6,6.73,7.75,10.26,13.59,34.81,27.45,4.21
03-03,Gastro intestinal disorder,293,0.45,1.35,2.82,2.56,7.77,9.93,9.39,8.58
03-06,Neoplasm,272,0.0,1.18,1.41,7.69,4.85,5.14,10.81,10.14
05-05,Birth injury/asphyxia,167,24.51,0.17,1.41,0.0,0.0,0.12,0.0,0.0
05-03,Prematurity/low birth weight,145,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05,Diarrhoeal disease without fever,138,2.41,11.45,1.41,0.0,1.94,1.52,1.71,1.79
03-04,Central nervous system disorder,105,0.15,2.19,1.41,2.56,7.77,3.62,1.85,2.18
05-06,Neonatal sepsis,93,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-02,Respiratory disorder,84,0.15,1.52,2.11,0.0,2.43,1.64,2.28,2.81
00-02,Specific information missing on VAQ,83,1.05,0.84,0.7,2.56,1.94,1.17,1.28,3.59
03-05,Endocrine disorders,83,0.0,0.17,0.0,0.0,0.97,1.52,2.7,3.74
03-09,Nutritional disorder,77,1.35,7.24,6.34,5.13,0.0,0.12,0.14,0.94
03-07,Genito urinary disorders,76,0.3,0.51,0.0,5.13,0.97,0.58,1.99,3.74
04-01,Transport,75,0.0,0.51,4.23,2.56,6.31,2.8,2.56,0.78
03-08,Anaemia,58,0.3,3.03,1.41,2.56,1.94,0.93,0.85,1.33
04-03,Drowning/submersion,54,0.0,2.19,7.04,7.69,3.4,1.64,0.57,0.23
02-04,Obstructed labour,50,4.96,0.0,0.0,0.0,1.94,1.52,0.0,0.0
03-99,Other specific unlisted,47,0.15,1.01,0.0,0.0,1.94,1.52,1.0,1.25
04-05,Poisoning/exposure to noxious substance,44,0.0,0.51,1.41,2.56,2.91,1.87,1.42,0.47
04-02,Fall,35,0.0,0.17,2.11,2.56,0.49,0.23,0.43,1.87
04-08,Hanging,34,0.0,0.0,0.0,2.56,4.85,1.75,0.71,0.23
05-04,Congenital abnormality,32,3.31,1.52,0.7,0.0,0.0,0.0,0.0,0.0
04-99,Other specific unlisted,29,0.45,0.34,0.7,0.0,0.97,1.05,1.0,0.39
04-06,Use of weapon,23,0.15,0.0,0.0,0.0,0.97,0.93,1.0,0.39
00-03,No significant pathology that would explain the death,22,0.15,0.0,0.0,0.0,0.0,0.12,0.14,1.48
01-99,Other specific unlisted,18,0.45,0.0,1.41,0.0,0.49,1.17,0.14,0.08
02-03,Ante postpartum haemorrhage,15,0.15,0.0,0.0,0.0,2.43,0.82,0.28,0.0
01-03,Hepatitis,14,0.3,0.34,0.0,0.0,0.97,0.35,0.57,0.08
05-08,Sudden infant death syndrome,13,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.08
02-99,Other specific unlisted,10,0.0,0.0,0.0,0.0,0.97,0.82,0.14,0.0
05-99,Other specific unlisted,10,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-05,Puerperal sepsis,9,0.3,0.0,0.0,0.0,0.97,0.58,0.0,0.0
04-09,Choking,8,0.45,0.51,0.0,0.0,0.0,0.0,0.14,0.08
04-07,Contact with venomous animals and plants,7,0.0,0.17,1.41,2.56,0.0,0.12,0.28,0.0
02-02,Eclampsia,7,0.15,0.0,0.0,0.0,1.46,0.35,0.0,0.0
02-01,Abortion,7,0.0,0.0,0.0,0.0,0.97,0.47,0.14,0.0
03-00,Unspecifiable,5,0.0,0.0,0.0,0.0,0.0,0.12,0.43,0.08
04-04,Exposure to smoke/fire/flames,4,0.0,0.34,0.7,0.0,0.0,0.0,0.0,0.08
02-06,Anaemia in pregnancy,3,0.0,0.0,0.0,0.0,0.49,0.23,0.0,0.0
05-00,Unspecifiable,3,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-07,Rabies,3,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.16
00-04,"Multiple significant pathology, single COD can't be isolated",2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.08
02-00,Unspecifiable,1,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0
00-01,No information (VAQ not available),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
05-02,Stillbirth,1,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
05-09,Neonatal tetanus,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
