cause_code,level2_name,total,15-24,25-44,45-64,65+
03-01,Cardiovascular disorder,642,5.34,5.14,16.22,36.9
01-04,TB/AIDS,573,13.59,34.81,27.45,4.21
01-01,Acute febrile illness,409,17.48,15.19,12.38,12.17
03-03,Gastro intestinal disorder,277,7.77,9.93,9.39,8.58
03-06,Neoplasm,260,4.85,5.14,10.81,10.14
03-04,Central nervous system disorder,88,7.77,3.62,1.85,2.18
03-05,Endocrine disorders,82,0.97,1.52,2.7,3.74
03-02,Respiratory disorder,71,2.43,1.64,2.28,2.81
00-02,Specific information missing on VAQ,69,1.94,1.17,1.28,3.59
03-07,Genito urinary disorders,69,0.97,0.58,1.99,3.74
04-01,Transport,65,6.31,2.8,2.56,0.78
01-05,Diarrhoeal disease without fever,52,1.94,1.52,1.71,1.79
03-99,Other specific unlisted,40,1.94,1.52,1.0,1.25
04-05,Poisoning/exposure to noxious substance,38,2.91,1.87,1.42,0.47
03-08,Anaemia,35,1.94,0.93,0.85,1.33
04-08,Hanging,33,4.85,1.75,0.71,0.23
04-02,Fall,30,0.49,0.23,0.43,1.87
04-03,Drowning/submersion,28,3.4,1.64,0.57,0.23
04-99,Other specific unlisted,23,0.97,1.05,1.0,0.39
04-06,Use of weapon,22,0.97,0.93,1.0,0.39
00-03,No significant pathology that would explain the death,21,0.0,0.12,0.14,1.48
02-04,Obstructed labour,17,1.94,1.52,0.0,0.0
02-03,Ante postpartum haemorrhage,14,2.43,0.82,0.28,0.0
03-09,Nutritional disorder,14,0.0,0.12,0.14,0.94
01-99,Other specific unlisted,13,0.49,1.17,0.14,0.08
01-03,Hepatitis,10,0.97,0.35,0.57,0.08
02-99,Other specific unlisted,10,0.97,0.82,0.14,0.0
02-05,Puerperal sepsis,7,0.97,0.58,0.0,0.0
02-01,Abortion,7,0.97,0.47,0.14,0.0
02-02,Eclampsia,6,1.46,0.35,0.0,0.0
03-00,Unspecifiable,5,0.0,0.12,0.43,0.08
04-07,Contact with venomous animals and plants,3,0.0,0.12,0.28,0.0
02-06,Anaemia in pregnancy,3,0.49,0.23,0.0,0.0
01-07,Rabies,2,0.0,0.0,0.0,0.16
04-09,Choking,2,0.0,0.0,0.14,0.08
00-01,No information (VAQ not available),1,0.0,0.0,0.0,0.08
00-04,"Multiple significant pathology, single COD can't be isolated",1,0.0,0.0,0.0,0.08
02-00,Unspecifiable,1,0.49,0.0,0.0,0.0
04-04,Exposure to smoke/fire/flames,1,0.0,0.0,0.0,0.08
05-02,Stillbirth,1,0.0,0.12,0.0,0.0
05-05,Birth injury/asphyxia,1,0.0,0.12,0.0,0.0
05-08,Sudden infant death syndrome,1,0.0,0.0,0.0,0.08
