cause_code,0,1-4,5-9,10-14
01-04-02,-9.04,-9.46,-11.48,-12.9
01-01-01,7.44,6.99,12.39,14.26
01-01-00,-10.4,-11.05,-8.62,-8.82
01-05-00,5.75,6.09,1.41,0.0
04-00-00,-2.55,-1.21,-0.71,-5.88
01-01-05,-3.35,-1.56,1.4,2.56
03-09-01,-0.25,1.53,0.63,5.13
03-06-00,0.0,-0.7,-0.71,-5.88
00-02-00,2.38,0.84,0.7,2.56
03-04-00,-0.64,-1.38,-1.43,-2.94
01-01-06,1.74,0.5,0.7,2.56
01-04-01,-0.04,2.19,2.82,-0.38
01-00-00,-1.27,-1.21,0.0,-2.94
03-03-00,-0.04,0.0,-2.14,-2.94
03-06-99,0.0,1.01,1.41,2.56
05-03-00,4.76,0.0,0.0,0.0
03-04-99,0.0,1.35,0.7,2.56
03-00-00,0.0,0.0,-1.43,-2.94
04-05-00,0.0,0.16,-1.45,2.56
03-03-02,0.0,0.17,1.41,2.56
01-01-02,-0.17,1.13,0.66,1.81
01-01-99,0.6,1.52,1.41,0.0
01-04-00,-1.27,-1.73,0.0,0.0
03-08-01,-0.64,-0.7,-1.43,0.0
04-07-00,0.0,-0.18,-0.02,2.56
01-01-04,-0.43,-1.46,-0.08,-0.75
01-99-00,1.19,0.0,1.41,0.0
03-06-04,0.0,0.0,0.0,2.56
03-07-99,0.0,0.0,0.0,2.56
04-08-00,0.0,0.0,0.0,2.56
05-00-00,-2.55,0.0,0.0,0.0
05-08-00,2.26,0.0,0.0,0.0
05-05-00,-0.64,0.17,1.41,0.0
03-07-01,0.6,0.51,-0.71,-0.38
03-03-03,-0.04,0.66,-1.44,0.0
03-04-02,0.6,0.84,0.7,0.0
01-01-03,0.0,0.51,1.41,0.0
03-01-00,0.0,-0.35,-1.43,0.0
03-01-04,0.0,0.34,1.41,0.0
03-08-00,0.55,0.79,-0.02,-0.38
04-99-00,0.6,0.34,0.7,0.0
03-99-00,0.6,1.01,0.0,0.0
04-09-00,1.19,0.34,0.0,0.0
01-03-00,0.55,0.17,-0.71,0.0
03-01-99,0.0,0.67,0.7,0.0
04-03-00,0.0,0.11,-0.1,-1.13
05-99-00,1.19,0.0,0.0,0.0
05-04-00,-0.25,-0.04,-0.73,0.0
05-06-00,-0.8,0.0,0.0,0.0
03-02-99,0.6,0.17,0.0,0.0
03-01-02,0.6,0.17,0.0,0.0
01-07-00,0.0,0.0,-0.71,0.0
03-03-01,0.0,0.0,0.7,0.0
03-02-00,0.0,0.0,0.7,0.0
03-02-01,0.0,0.0,0.7,0.0
00-04-00,0.6,0.0,0.0,0.0
00-03-00,0.6,0.0,0.0,0.0
04-01-00,0.0,0.16,-0.06,-0.38
04-02-00,0.0,0.0,-0.03,-0.38
03-06-06,0.0,0.0,0.0,-0.38
01-04-03,0.0,0.17,-0.01,0.0
03-09-00,0.0,0.17,0.0,0.0
03-07-00,0.0,-0.17,0.0,0.0
03-05-99,0.0,0.17,0.0,0.0
03-08-99,0.0,0.17,0.0,0.0
03-02-02,0.0,0.14,-0.01,0.0
04-04-00,0.0,-0.01,-0.01,0.0
