cause_code,level3_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-04-02,Communicable disease: TB/AIDS: AIDS,440,0.45,4.21,4.23,7.69,10.19,26.4,19.91,1.25
01-01-01,Communicable disease: Acute febrile illness: Malaria,391,3.31,28.79,33.1,23.08,8.25,4.91,4.84,3.82
03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,241,0.0,0.0,0.0,0.0,0.0,0.58,6.26,14.98
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,216,10.53,8.75,5.63,5.13,0.0,2.1,2.13,3.98
03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,193,0.0,0.34,1.41,0.0,1.46,1.75,3.84,11.23
05-05-00,Causes specific to infancy: Birth injury/asphyxia,167,24.51,0.17,1.41,0.0,0.0,0.12,0.0,0.0
01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,165,0.15,2.36,2.82,2.56,3.4,7.71,5.97,2.34
05-03-00,Causes specific to infancy: Prematurity/low birth weight,145,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05-00,Communicable disease: Diarrhoeal disease without fever,138,2.41,11.45,1.41,0.0,1.94,1.52,1.71,1.79
03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,125,0.0,0.17,1.41,2.56,4.37,4.67,4.27,3.28
03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,101,0.15,0.17,0.0,0.0,2.43,1.17,2.56,5.15
05-06-00,Causes specific to infancy: Neonatal sepsis,93,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,87,0.3,1.18,0.7,0.0,1.94,2.1,3.13,2.57
01-01-02,Communicable disease: Acute febrile illness: Menigitis,87,0.75,2.86,3.52,7.69,3.88,4.09,1.56,0.23
03-06-99,Non communicable disease: Neoplasm: Other specific unlisted,87,0.0,1.01,1.41,2.56,2.43,1.87,3.56,2.5
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,86,1.05,5.39,3.52,0.0,1.94,1.52,0.85,1.48
00-02-00,Unspecifiable: Specific information missing on VAQ,83,1.05,0.84,0.7,2.56,1.94,1.17,1.28,3.59
03-05-01,Non communicable disease: Endocrine disorders: Diabetes,81,0.0,0.0,0.0,0.0,0.97,1.52,2.7,3.67
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,76,1.35,7.07,6.34,5.13,0.0,0.12,0.14,0.94
04-01-00,External cause: Transport,75,0.0,0.51,4.23,2.56,6.31,2.8,2.56,0.78
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,73,0.6,6.23,2.11,2.56,0.49,0.7,1.56,0.78
03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,73,0.0,0.0,0.0,0.0,0.49,1.29,3.56,2.81
03-01-03,Non communicable disease: Cardiovascular disorder: Ischaemic heart disease,63,0.0,0.0,0.0,0.0,0.0,0.7,2.28,3.2
03-02-02,Non communicable disease: Respiratory disorder: Asthma,57,0.0,1.18,0.7,0.0,2.43,0.93,1.56,1.95
03-08-00,Non communicable disease: Anaemia: Unspecifiable,55,0.3,2.69,1.41,2.56,1.94,0.82,0.85,1.33
04-03-00,External cause: Drowning/submersion,54,0.0,2.19,7.04,7.69,3.4,1.64,0.57,0.23
03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,52,0.15,0.84,0.7,0.0,6.31,2.69,0.71,0.31
03-03-01,Non communicable disease: Gastro intestinal disorder: Peptic ulcer disease,51,0.0,0.0,0.7,0.0,0.49,2.22,1.28,1.64
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,51,0.15,0.51,0.0,2.56,0.49,0.47,1.28,2.5
02-04-00,Direct maternal cause: Obstructed labour,50,4.96,0.0,0.0,0.0,1.94,1.52,0.0,0.0
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,50,0.45,1.52,1.41,0.0,2.43,1.05,1.28,1.01
03-01-99,Non communicable disease: Cardiovascular disorder: Other specific unlisted,48,0.0,0.67,0.7,0.0,1.46,0.82,1.14,1.95
03-99-00,Non communicable disease: Other specific unlisted,47,0.15,1.01,0.0,0.0,1.94,1.52,1.0,1.25
04-05-00,External cause: Poisoning/exposure to noxious substance,44,0.0,0.51,1.41,2.56,2.91,1.87,1.42,0.47
04-02-00,External cause: Fall,35,0.0,0.17,2.11,2.56,0.49,0.23,0.43,1.87
04-08-00,External cause: Hanging,34,0.0,0.0,0.0,2.56,4.85,1.75,0.71,0.23
01-01-06,Communicable disease: Acute febrile illness: Sepsis,33,1.05,0.67,0.7,2.56,0.49,0.82,0.14,0.86
03-06-07,Non communicable disease: Neoplasm: Oesophagus,32,0.0,0.0,0.0,0.0,0.0,0.35,1.14,1.64
05-04-00,Causes specific to infancy: Congenital abnormality,32,3.31,1.52,0.7,0.0,0.0,0.0,0.0,0.0
03-04-99,Non communicable disease: Central nervous system disorder: Other specific unlisted,32,0.0,1.35,0.7,2.56,0.97,0.23,0.43,1.17
04-99-00,External cause: Other specific unlisted,29,0.45,0.34,0.7,0.0,0.97,1.05,1.0,0.39
03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,29,0.0,0.0,0.0,2.56,0.97,0.35,1.28,1.09
01-04-03,Communicable disease: TB/AIDS: Extrapulmonary TB,23,0.0,0.17,0.7,0.0,0.0,0.35,1.56,0.55
