cause_code,15-24,25-44,45-64,65+
01-04-02,-9.22,-22.23,-20.47,-2.05
01-01-01,6.49,4.26,4.32,0.85
01-04-01,2.22,5.63,4.6,1.13
03-03-00,-3.04,-3.93,-2.13,-4.15
03-06-99,2.43,1.87,3.56,2.5
03-01-02,0.67,0.39,-1.91,-6.94
01-01-00,-5.12,-1.21,-1.56,-1.6
03-03-02,2.61,1.68,2.55,1.52
03-06-00,-3.04,-0.65,-1.58,-3.07
00-02-00,1.94,1.17,1.28,3.59
03-01-01,-0.59,0.45,3.17,3.55
01-01-99,2.43,1.05,1.28,1.01
03-99-00,1.94,1.52,1.0,1.25
03-01-99,1.46,0.82,1.14,1.95
03-01-04,1.46,1.49,0.58,-1.74
03-00-00,-0.59,-0.79,-0.6,-3.11
01-05-00,1.94,1.39,0.85,0.69
03-03-01,0.49,1.83,0.94,1.2
01-04-00,-1.18,-1.99,-1.03,-0.25
03-04-00,-2.35,-0.29,-1.23,-0.47
03-01-03,0.0,0.57,1.59,1.99
04-00-00,-1.76,-0.91,-0.69,-0.11
04-99-00,0.97,1.05,1.0,0.39
03-01-00,-1.18,-0.01,-0.72,-1.37
01-00-00,-0.59,-0.52,-1.2,-0.88
03-06-07,0.0,0.35,1.14,1.64
04-01-00,-1.34,-0.97,0.67,0.01
03-07-01,0.49,0.47,0.59,1.4
01-01-04,0.0,0.93,-0.28,-1.73
04-05-00,-0.62,-0.86,-1.16,-0.19
03-03-03,0.18,1.06,0.55,1.03
03-04-99,0.97,0.23,0.43,1.17
03-06-04,0.97,0.09,-0.27,-1.44
01-01-02,0.94,1.1,0.7,0.01
01-04-03,-1.18,-0.69,0.36,-0.44
02-00-00,-1.86,-0.65,0.0,0.0
03-03-99,0.49,0.7,0.43,0.62
03-02-02,0.67,0.28,-0.5,0.74
03-07-00,-0.69,-0.13,-0.34,-0.94
04-08-00,1.91,0.06,0.02,-0.1
02-99-00,0.97,0.82,0.14,0.0
03-07-99,0.0,0.12,0.71,1.09
01-99-00,0.49,1.17,0.14,0.08
03-04-02,1.02,0.48,0.19,0.09
03-08-00,0.76,0.43,-0.35,0.23
00-03-00,0.0,0.12,0.14,1.48
01-03-00,-1.38,-0.17,0.05,0.08
03-06-02,-0.1,0.38,-0.56,-0.6
01-01-05,-0.1,0.18,1.22,-0.1
03-05-01,0.38,-0.04,-0.22,-0.84
04-06-00,0.38,0.15,0.66,-0.16
04-04-00,-1.18,0.0,0.0,0.08
03-02-00,0.0,0.34,0.11,-0.8
01-01-06,-0.1,0.69,-0.38,-0.02
02-04-00,0.76,0.35,0.0,0.0
02-03-00,0.08,-0.74,0.28,0.0
04-03-00,-0.72,-0.18,-0.12,0.01
04-02-00,-0.1,-0.03,0.09,0.77
03-04-01,-0.1,0.34,0.4,-0.15
02-05-00,-0.79,0.19,0.0,0.0
03-02-01,0.0,0.12,0.11,0.67
03-06-06,0.49,0.0,0.0,0.39
03-08-01,-0.59,-0.26,0.0,0.0
02-06-00,0.49,0.1,0.0,0.0
03-06-03,0.0,-0.08,-0.24,-0.19
04-07-00,0.0,0.12,0.28,0.0
02-02-00,0.28,0.09,0.0,0.0
03-09-00,0.0,-0.13,0.0,-0.22
03-09-01,0.0,0.12,-0.03,0.17
02-01-00,-0.21,0.08,-0.03,0.0
03-02-99,0.0,0.12,0.14,0.0
04-09-00,0.0,0.0,0.14,0.08
03-06-05,0.0,0.1,-0.06,-0.05
03-06-01,0.0,0.09,0.05,-0.04
03-08-99,0.0,0.12,0.0,0.0
05-05-00,0.0,0.12,0.0,0.0
05-02-00,0.0,0.12,0.0,0.0
03-05-00,0.0,0.0,0.0,-0.11
00-01-00,0.0,0.0,0.0,0.08
03-05-99,0.0,0.0,0.0,0.08
00-04-00,0.0,0.0,0.0,0.08
05-08-00,0.0,0.0,0.0,0.08
01-07-00,0.0,0.0,0.0,0.05
