cause_code,0,1-4,5-9,10-14,15,16-49,50-64,65+
01-04-02,-2.13,-9.46,-11.48,-12.23,-1.47,-21.95,-16.05,-2.05
01-01-01,2.09,6.99,12.39,11.17,17.28,4.21,4.92,0.85
01-01-00,-2.45,-11.05,-8.62,-7.14,-12.87,-1.54,-1.97,-1.6
03-03-00,-0.15,0.0,-2.14,-3.57,-12.5,-3.05,-2.97,-4.15
01-04-01,0.0,2.19,2.82,2.44,5.88,5.29,3.75,1.13
03-06-99,0.0,1.01,1.41,4.23,5.88,1.84,4.41,2.5
03-06-00,0.0,-0.7,-0.71,-7.14,-6.25,-1.29,-1.26,-3.07
01-05-00,1.65,6.09,1.41,0.0,5.88,1.35,0.78,0.69
03-03-02,0.0,0.17,1.41,2.82,5.88,1.94,2.37,1.52
03-04-00,-0.15,-1.38,-1.43,-3.57,-6.25,-0.93,-0.53,-0.47
03-01-02,0.15,0.17,0.0,1.41,0.0,0.67,-3.41,-6.94
03-04-99,0.0,1.35,0.7,2.82,5.88,0.32,0.4,1.17
03-99-00,0.15,1.01,0.0,1.41,5.88,1.52,0.8,1.25
00-02-00,1.05,0.84,0.7,2.82,0.0,1.36,1.2,3.59
01-04-00,-0.3,-1.73,0.0,0.0,-6.25,-1.76,-0.73,-0.25
03-04-02,0.15,0.84,0.7,2.06,5.88,0.59,-0.13,0.09
04-00-00,-0.76,-1.21,-0.71,-5.36,0.0,-0.91,-0.98,-0.11
01-03-00,0.15,0.17,-0.71,-2.16,-6.25,-0.25,0.11,0.08
03-00-00,0.0,0.0,-1.43,-3.57,0.0,-0.74,-0.62,-3.11
05-05-00,-6.8,0.17,1.41,0.0,0.0,0.08,0.0,0.0
03-01-01,0.0,0.0,0.0,0.0,0.0,0.42,3.96,3.55
03-01-99,0.0,0.67,0.7,1.41,0.0,0.88,1.4,1.95
04-99-00,0.45,0.34,0.7,2.82,0.0,1.04,1.0,0.39
01-01-99,0.45,1.52,1.41,0.0,0.0,1.52,0.8,1.01
04-05-00,0.0,0.16,-1.45,2.82,0.0,-0.85,-1.2,-0.19
01-01-05,-0.77,-1.56,1.4,1.41,0.0,0.5,0.71,-0.1
04-04-00,0.0,-0.01,-0.01,0.0,-6.25,-0.09,0.0,0.08
03-07-01,0.15,0.51,-0.71,2.44,0.0,0.54,0.51,1.4
01-01-04,0.65,-1.46,-0.08,-0.75,0.0,0.74,-0.64,-1.73
01-00-00,-0.3,-1.21,0.0,-1.79,0.0,-0.64,-1.22,-0.88
03-01-00,0.0,-0.35,-1.43,-1.79,0.0,-0.28,-0.78,-1.37
03-01-04,0.0,0.34,1.41,0.0,0.0,1.05,1.35,-1.74
02-04-00,4.96,0.0,0.0,0.0,0.0,0.36,0.0,0.0
03-03-03,0.15,0.66,-1.44,0.0,0.0,0.91,0.4,1.03
04-03-00,0.0,0.11,-0.1,-3.67,0.0,-0.25,-0.09,0.01
01-01-06,0.9,0.5,0.7,1.41,0.0,0.37,-0.29,-0.02
03-03-01,0.0,0.0,0.7,0.0,0.0,1.57,0.71,1.2
03-01-03,0.0,0.0,0.0,0.0,0.0,0.87,1.02,1.99
01-01-02,-0.01,1.13,0.66,0.27,0.0,1.02,0.67,0.01
03-09-01,0.13,1.53,0.63,1.03,0.0,-0.01,0.2,0.17
03-07-99,0.15,0.0,0.0,1.41,0.0,0.16,0.8,1.09
04-08-00,0.0,0.0,0.0,2.82,0.0,0.35,0.07,-0.1
00-03-00,0.15,0.0,0.0,1.41,0.0,0.08,0.2,1.48
05-00-00,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-06-07,0.0,0.0,0.0,0.0,0.0,0.48,1.0,1.64
01-99-00,0.45,0.0,1.41,0.0,0.0,0.88,0.2,0.08
03-06-04,0.0,0.0,0.0,1.41,0.0,0.02,0.14,-1.44
03-08-00,0.15,0.79,-0.02,-0.38,0.0,0.49,-0.66,0.23
03-08-01,-0.15,-0.7,-1.43,0.0,0.0,-0.27,0.0,0.0
03-05-01,0.0,0.0,0.0,-0.38,0.0,0.23,-0.85,-0.84
03-02-02,0.0,0.14,-0.01,0.0,-0.37,0.31,-0.68,0.74
04-02-00,0.0,0.0,-0.03,1.03,0.0,0.05,-0.09,0.77
04-07-00,0.0,-0.18,-0.02,1.41,0.0,0.16,0.2,0.0
01-01-03,0.0,0.51,1.41,0.0,0.0,0.0,0.0,0.0
03-02-00,0.0,0.0,0.7,0.0,0.0,0.23,0.16,-0.8
03-07-00,0.0,-0.17,0.0,0.0,0.0,-0.19,-0.49,-0.94
03-03-99,0.0,0.0,0.0,0.0,0.0,0.56,0.6,0.62
04-01-00,0.0,0.16,-0.06,-0.38,0.0,-0.67,0.45,0.01
03-06-02,0.0,0.0,0.0,0.0,0.0,0.26,-0.82,-0.6
03-02-01,0.0,0.0,0.7,0.0,0.0,0.08,0.16,0.67
05-99-00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-04-00,0.73,-0.04,-0.73,0.0,0.0,0.0,0.0,0.0
05-06-00,-1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-06-00,0.15,0.0,0.0,0.0,0.0,0.23,0.76,-0.16
01-04-03,0.0,0.17,-0.01,0.0,0.0,-0.36,-0.26,-0.44
05-08-00,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08
04-09-00,0.45,0.34,0.0,0.0,0.0,0.0,0.2,0.08
02-99-00,0.0,0.0,0.0,0.0,0.0,0.72,0.2,0.0
03-06-06,0.0,0.0,0.0,-0.38,0.0,0.08,0.0,0.39
03-04-01,0.0,0.0,0.0,0.0,0.0,0.3,0.36,-0.15
01-07-00,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.05
02-00-00,0.0,0.0,0.0,0.0,0.0,-0.74,0.0,0.0
03-06-03,0.0,0.0,0.0,0.0,0.0,0.01,-0.53,-0.19
02-03-00,0.0,0.0,0.0,0.0,0.0,-0.42,0.2,0.0
03-02-99,0.15,0.17,0.0,0.0,0.0,0.08,0.2,0.0
03-09-00,0.0,0.17,0.0,0.0,0.0,-0.09,0.0,-0.22
02-05-00,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.0
03-06-01,0.0,0.0,0.0,0.0,0.0,0.13,-0.09,-0.04
03-08-99,0.0,0.17,0.0,0.0,0.0,0.08,0.0,0.0
03-05-99,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.08
05-03-00,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-04-00,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.08
03-06-05,0.0,0.0,0.0,0.0,0.0,0.07,-0.09,-0.05
05-09-00,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-06-00,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
