age_group,Unspecifiable,Communicable disease,Non communicable disease,External cause,Causes specific to infancy
0,6,117,15,3,27
1-4,5,436,115,28,10
5-9,1,88,25,25,3
10-14,1,20,10,8,0
15,0,3,0,0,0
