age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
15-24,1.94,34.47,9.71,33.98,19.9,0.0
25-44,1.29,53.04,4.79,30.26,10.4,0.23
45-64,1.42,42.25,0.57,47.65,8.11,0.0
65+,5.23,18.49,0.0,71.68,4.52,0.08
