age_group,Unspecifiable,Communicable disease,Non communicable disease,External cause,Causes specific to infancy
0,3.57,69.64,8.93,1.79,16.07
1-4,0.84,73.4,19.36,4.71,1.68
5-9,0.7,61.97,17.61,17.61,2.11
10-14,2.56,51.28,25.64,20.51,0.0
15,0.0,100.0,0.0,0.0,0.0
