cause_code,level2_name,total,0,1-4,5-9,10-14
01-01,Acute febrile illness,508,94,325,73,16
01-05,Diarrhoeal disease without fever,85,15,68,2,0
03-09,Nutritional disorder,60,6,43,9,2
01-04,TB/AIDS,59,4,40,11,4
04-03,Drowning/submersion,26,0,13,10,3
03-08,Anaemia,23,2,18,2,1
03-04,Central nervous system disorder,17,1,13,2,1
05-04,Congenital abnormality,16,6,9,1,0
03-03,Gastro intestinal disorder,15,2,8,4,1
03-02,Respiratory disorder,13,1,9,3,0
03-06,Neoplasm,12,0,7,2,3
00-02,Specific information missing on VAQ,11,4,5,1,1
03-01,Cardiovascular disorder,11,1,7,3,0
04-01,Transport,10,0,3,6,1
05-03,Prematurity/low birth weight,8,8,0,0,0
05-08,Sudden infant death syndrome,7,7,0,0,0
03-99,Other specific unlisted,7,1,6,0,0
04-05,Poisoning/exposure to noxious substance,6,0,3,2,1
03-07,Genito urinary disorders,6,1,3,0,2
04-09,Choking,5,2,3,0,0
04-02,Fall,5,0,1,3,1
05-06,Neonatal sepsis,4,4,0,0,0
01-99,Other specific unlisted,4,2,0,2,0
04-99,Other specific unlisted,4,1,2,1,0
04-07,Contact with venomous animals and plants,4,0,1,2,1
01-03,Hepatitis,4,2,2,0,0
04-04,Exposure to smoke/fire/flames,3,0,2,1,0
05-05,Birth injury/asphyxia,3,0,1,2,0
05-99,Other specific unlisted,2,2,0,0,0
00-03,No significant pathology that would explain the death,1,1,0,0,0
03-05,Endocrine disorders,1,0,1,0,0
01-07,Rabies,1,0,1,0,0
00-04,"Multiple significant pathology, single COD can't be isolated",1,1,0,0,0
04-08,Hanging,1,0,0,0,1
