age_group,Unspecifiable,Communicable disease,Direct maternal cause,Non communicable disease,External cause,Causes specific to infancy
0,2.88,27.44,5.39,2.88,6.52,54.89
1-4,2.31,76.92,0.0,15.54,4.92,0.31
5-9,2.44,55.49,0.0,23.17,18.29,0.61
10-14,4.71,47.06,0.0,30.59,17.65,0.0
15-24,1.26,37.24,7.53,32.22,21.76,0.0
25-44,2.91,60.56,3.66,21.44,11.42,0.0
45-64,2.04,50.06,0.13,40.38,7.39,0.0
65+,6.64,26.49,0.07,63.45,3.35,0.0
