cause_code,0,1-4,5-9,10-14,15,16-49,50-64,65+
01-01,6.19,-1.82,2.37,12.08,13.1,7.16,8.48,5.04
01-04,-0.78,-7.42,-6.67,-9.05,-7.44,-11.51,-8.55,-0.25
05-05,-21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-02,2.51,1.85,1.83,4.71,0.0,2.34,1.95,4.56
03-03,-0.21,0.4,-1.85,-2.39,-7.74,0.73,-1.37,-1.11
04-99,1.0,1.38,3.66,4.71,0.0,2.56,0.88,0.87
03-01,0.38,0.11,-1.43,5.27,0.0,1.48,0.87,-5.04
05-03,-13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05,1.37,6.79,0.61,1.18,0.0,0.86,1.26,0.91
03-06,0.13,-0.1,2.34,-4.22,-1.49,0.11,-0.77,-3.28
04-03,0.0,-0.7,-1.65,-8.36,0.0,-1.07,0.04,-0.15
05-00,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-00,0.0,0.0,-1.43,-3.57,0.0,-0.82,-1.04,-3.19
03-08,0.33,2.15,0.19,0.56,4.76,-0.23,-0.22,0.04
04-00,-0.76,-0.9,0.51,-5.36,0.0,-0.1,-0.45,0.09
03-09,-0.09,-1.54,0.39,0.56,4.76,-0.03,0.0,-0.39
04-04,0.0,0.27,-0.71,0.0,-6.25,-0.09,0.0,0.0
01-03,-0.15,-0.02,-0.71,-3.57,-1.49,-0.44,-0.49,0.0
05-08,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-09,4.89,-0.17,0.0,1.18,0.0,0.0,0.0,0.0
03-04,-0.02,0.16,2.23,-0.08,3.27,-0.05,0.24,0.14
01-00,-0.3,-1.21,0.0,-1.79,0.0,-0.57,-1.22,-0.88
02-04,5.01,0.0,0.0,0.0,0.0,-0.93,0.0,0.0
03-07,0.0,0.14,1.73,1.74,0.0,0.35,1.14,0.62
03-02,0.13,0.17,1.12,1.18,-1.49,0.06,-0.52,1.02
04-05,0.25,-0.04,-1.64,0.0,0.0,-0.96,-1.85,-0.53
05-04,-1.7,-1.25,-0.82,0.0,0.0,0.0,0.0,0.0
04-02,0.13,-0.17,-0.92,1.74,0.0,0.02,-0.49,-0.3
04-06,0.0,0.0,0.0,1.18,0.0,0.73,1.53,0.12
03-99,0.0,1.23,0.61,0.0,0.0,0.44,0.88,0.27
04-08,0.13,0.0,0.0,2.35,0.0,0.17,-0.2,-0.13
04-01,0.0,0.42,-0.02,-0.61,0.0,-1.24,-0.18,-0.37
00-03,0.13,0.15,0.61,0.0,0.0,0.07,0.0,1.88
05-06,-2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-07,0.13,-0.2,-0.21,1.18,0.0,0.15,0.18,0.0
03-05,0.13,0.0,0.0,-0.61,0.0,0.61,-0.12,-0.26
02-99,0.13,0.0,0.0,0.0,0.0,1.24,0.0,0.0
05-99,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-03,-0.15,0.0,0.0,0.0,0.0,-0.73,0.0,0.0
00-04,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.13
02-01,0.0,0.0,0.0,0.0,0.0,-0.48,0.0,0.0
00-01,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.07
02-02,0.1,0.0,0.0,0.0,0.0,-0.21,0.0,0.0
01-07,0.0,-0.02,-0.1,0.0,0.0,0.0,0.0,-0.11
01-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
05-02,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-09,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-05,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.07
01-06,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
02-00,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
02-06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
