cause_code,level3_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-04-02,Communicable disease: TB/AIDS: AIDS,710,15,41,12,4,31,354,216,37
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,365,112,90,11,3,3,27,30,89
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,312,23,78,12,4,13,53,40,89
01-01-01,Communicable disease: Acute febrile illness: Malaria,258,30,118,40,9,11,11,10,29
03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,255,0,0,0,0,3,3,37,212
03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,210,0,0,0,0,2,5,34,169
01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,158,3,12,4,1,11,40,42,45
01-05-00,Communicable disease: Diarrhoeal disease without fever,154,17,79,1,0,0,9,18,30
00-02-00,Unspecifiable: Specific information missing on VAQ,148,20,12,3,2,3,24,16,68
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,121,7,40,0,1,2,22,14,35
03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,120,0,1,1,1,9,39,30,39
05-00-00,Causes specific to infancy: Unspecifiable,111,111,0,0,0,0,0,0,0
03-05-01,Non communicable disease: Endocrine disorders: Diabetes,110,0,0,0,1,5,15,24,65
01-01-02,Communicable disease: Acute febrile illness: Menigitis,107,6,26,4,2,8,31,14,16
05-06-00,Causes specific to infancy: Neonatal sepsis,103,103,0,0,0,0,0,0,0
03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,102,1,1,0,1,2,9,11,77
05-05-00,Causes specific to infancy: Birth injury/asphyxia,80,80,0,0,0,0,0,0,0
04-99-00,External cause: Other specific unlisted,77,8,9,6,1,6,22,12,13
03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,76,0,6,6,1,17,28,12,6
03-08-00,Non communicable disease: Anaemia: Unspecifiable,70,5,32,4,0,3,3,7,16
04-01-00,External cause: Transport,68,0,5,7,1,13,23,13,6
05-03-00,Causes specific to infancy: Prematurity/low birth weight,68,68,0,0,0,0,0,0,0
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,65,2,1,1,0,3,21,15,22
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,64,0,1,4,1,3,4,15,36
03-01-03,Non communicable disease: Cardiovascular disorder: Ischaemic heart disease,58,0,0,0,0,0,6,16,36
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,58,9,26,10,1,2,1,0,9
05-08-00,Causes specific to infancy: Sudden infant death syndrome,57,57,0,0,0,0,0,0,0
03-06-99,Non communicable disease: Neoplasm: Other specific unlisted,53,0,3,5,1,5,3,13,23
03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,50,0,0,0,0,3,10,15,22
03-02-02,Non communicable disease: Respiratory disorder: Asthma,48,1,6,2,0,5,2,13,19
03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,44,0,0,0,0,1,8,16,19
03-03-00,Non communicable disease: Gastro intestinal disorder: Unspecifiable,42,0,1,2,0,1,9,5,24
02-04-00,Direct maternal cause: Obstructed labour,41,40,0,0,0,0,1,0,0
04-06-00,External cause: Use of weapon,40,0,0,0,0,3,14,13,10
04-09-00,External cause: Choking,39,39,0,0,0,0,0,0,0
04-05-00,External cause: Poisoning/exposure to noxious substance,38,2,2,2,0,6,15,9,2
04-03-00,External cause: Drowning/submersion,38,0,9,9,2,7,7,3,1
03-03-01,Non communicable disease: Gastro intestinal disorder: Peptic ulcer disease,36,0,0,0,0,1,9,9,17
03-06-00,Non communicable disease: Neoplasm: Unspecifiable,35,0,2,0,0,1,2,6,24
01-01-06,Communicable disease: Acute febrile illness: Sepsis,35,2,7,0,1,3,8,3,11
04-08-00,External cause: Hanging,34,1,0,0,1,13,13,3,3
