cause_code,level3_name,total,15-24,25-44,45-64,65+
01-04-02,Communicable disease: TB/AIDS: AIDS,638,31,354,216,37
03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,255,3,3,37,212
03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,210,2,5,34,169
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,195,13,53,40,89
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,149,3,27,30,89
01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,138,11,40,42,45
03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,117,9,39,30,39
00-02-00,Unspecifiable: Specific information missing on VAQ,111,3,24,16,68
03-05-01,Non communicable disease: Endocrine disorders: Diabetes,109,5,15,24,65
03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,99,2,9,11,77
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,73,2,22,14,35
01-01-02,Communicable disease: Acute febrile illness: Menigitis,69,8,31,14,16
03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,63,17,28,12,6
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,61,3,21,15,22
01-01-01,Communicable disease: Acute febrile illness: Malaria,61,11,11,10,29
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,58,3,4,15,36
03-01-03,Non communicable disease: Cardiovascular disorder: Ischaemic heart disease,58,0,6,16,36
01-05-00,Communicable disease: Diarrhoeal disease without fever,57,0,9,18,30
04-01-00,External cause: Transport,55,13,23,13,6
04-99-00,External cause: Other specific unlisted,53,6,22,12,13
03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,50,3,10,15,22
03-06-99,Non communicable disease: Neoplasm: Other specific unlisted,44,5,3,13,23
03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,44,1,8,16,19
04-06-00,External cause: Use of weapon,40,3,14,13,10
03-02-02,Non communicable disease: Respiratory disorder: Asthma,39,5,2,13,19
03-03-00,Non communicable disease: Gastro intestinal disorder: Unspecifiable,39,1,9,5,24
03-03-01,Non communicable disease: Gastro intestinal disorder: Peptic ulcer disease,36,1,9,9,17
03-06-00,Non communicable disease: Neoplasm: Unspecifiable,33,1,2,6,24
04-05-00,External cause: Poisoning/exposure to noxious substance,32,6,15,9,2
04-08-00,External cause: Hanging,32,13,13,3,3
03-08-00,Non communicable disease: Anaemia: Unspecifiable,29,3,3,7,16
00-03-00,Unspecifiable: No significant pathology that would explain the death,29,0,1,0,28
03-02-01,Non communicable disease: Respiratory disorder: Chronic obstructive pulmonary disease,26,0,1,4,21
01-01-06,Communicable disease: Acute febrile illness: Sepsis,25,3,8,3,11
04-03-00,External cause: Drowning/submersion,18,7,7,3,1
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,18,0,3,4,11
03-01-00,Non communicable disease: Cardiovascular disorder: Unspecifiable,18,1,1,7,9
03-04-99,Non communicable disease: Central nervous system disorder: Other specific unlisted,18,0,1,2,15
03-01-99,Non communicable disease: Cardiovascular disorder: Other specific unlisted,17,1,2,4,10
03-06-07,Non communicable disease: Neoplasm: Oesophagus,17,0,1,5,11
04-00-00,External cause: Unspecifiable,17,3,8,3,3
02-99-00,Direct maternal cause: Other specific unlisted,17,7,10,0,0
04-02-00,External cause: Fall,16,0,4,0,12
03-99-00,Non communicable disease: Other specific unlisted,15,3,3,5,4
03-06-01,Non communicable disease: Neoplasm: Breast,13,0,2,5,6
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,12,2,1,0,9
02-00-00,Direct maternal cause: Unspecifiable,12,4,7,1,0
02-03-00,Direct maternal cause: Ante postpartum haemorrhage,10,1,9,0,0
02-05-00,Direct maternal cause: Puerperal sepsis,9,4,4,0,1
03-02-00,Non communicable disease: Respiratory disorder: Unspecifiable,9,0,2,0,7
03-03-99,Non communicable disease: Gastro intestinal disorder: Other specific unlisted,9,0,2,1,6
03-06-03,Non communicable disease: Neoplasm: Liver,8,2,2,1,3
03-06-05,Non communicable disease: Neoplasm: Lung,7,0,1,1,5
03-07-99,Non communicable disease: Genito urinary disorders: Other specific unlisted,6,0,1,0,5
01-03-00,Communicable disease: Hepatitis,5,4,1,0,0
03-04-01,Non communicable disease: Central nervous system disorder: Mental/behavioural disorder,4,2,0,0,2
03-08-99,Non communicable disease: Anaemia: Other specific unlisted,4,2,0,1,1
04-07-00,External cause: Contact with venomous animals and plants,3,1,0,2,0
00-01-00,Unspecifiable: No information (VAQ not available),3,0,2,0,1
01-04-03,Communicable disease: TB/AIDS: Extrapulmonary TB,3,0,1,1,1
03-06-06,Non communicable disease: Neoplasm: Oral,3,0,0,1,2
00-04-00,"Unspecifiable: Multiple significant pathology, single COD can't be isolated",2,0,0,0,2
03-05-00,Non communicable disease: Endocrine disorders: Unspecifiable,2,0,1,1,0
02-06-00,Direct maternal cause: Anaemia in pregnancy,2,0,2,0,0
03-04-00,Non communicable disease: Central nervous system disorder: Unspecifiable,2,0,0,0,2
03-02-99,Non communicable disease: Respiratory disorder: Other specific unlisted,2,0,1,0,1
01-99-00,Communicable disease: Other specific unlisted,2,0,0,0,2
02-02-00,Direct maternal cause: Eclampsia,2,1,1,0,0
01-00-00,Communicable disease: Unspecifiable,1,0,1,0,0
03-00-00,Non communicable disease: Unspecifiable,1,0,0,1,0
02-01-00,Direct maternal cause: Abortion,1,1,0,0,0
02-04-00,Direct maternal cause: Obstructed labour,1,0,1,0,0
01-06-00,Communicable disease: Tetanus (exc. neonatal tetanus),1,0,1,0,0
01-04-00,Communicable disease: TB/AIDS: Unspecifiable,1,0,0,1,0
03-05-99,Non communicable disease: Endocrine disorders: Other specific unlisted,1,0,1,0,0
03-07-00,Non communicable disease: Genito urinary disorders: Unspecifiable,1,0,0,0,1
