cause_code,15-24,25-44,45-64,65+
01-04-02,-6.27,-10.48,-12.86,-0.82
01-04-01,3.48,2.23,3.98,1.81
03-01-02,-0.91,0.19,-3.07,-6.93
03-03-00,-3.11,-3.19,-1.77,-3.01
00-02-00,1.27,2.59,2.04,4.56
01-01-00,-1.55,2.98,2.69,2.89
04-99-00,2.54,2.37,1.53,0.87
03-03-02,2.05,1.21,2.1,0.86
03-06-00,-3.11,-0.43,-0.96,-1.69
03-06-99,2.12,0.32,1.66,1.54
03-00-00,-0.59,-0.91,-0.9,-3.19
03-01-01,0.68,0.19,1.62,2.79
01-01-01,2.9,0.54,0.75,-1.02
01-01-05,0.26,1.85,1.44,1.47
01-04-00,-1.18,-2.34,-0.9,-0.33
01-01-04,1.27,1.74,1.41,0.26
03-04-00,-2.35,-0.52,-1.37,-0.42
03-06-02,-0.17,-0.05,-2.08,-2.14
03-07-01,1.27,0.43,1.22,1.31
01-04-03,-1.18,-0.93,-1.07,-0.92
04-05-00,-0.99,-1.11,-1.43,-0.53
02-99-00,2.97,1.08,0.0,0.0
04-01-00,-2.14,-1.29,-0.23,-0.37
03-04-02,1.91,0.81,1.01,0.18
03-01-04,0.85,0.28,1.07,-1.64
03-06-04,1.27,0.82,0.36,-1.05
04-08-00,2.57,-0.29,-0.31,-0.13
01-05-00,0.0,0.84,1.43,0.91
01-00-00,-0.59,-0.41,-1.2,-0.88
03-01-03,0.0,0.52,1.35,1.2
04-06-00,0.68,0.73,1.32,0.12
03-07-00,-1.18,-0.13,-0.34,-1.03
04-03-00,-1.15,-1.07,-0.31,-0.15
01-01-02,0.45,0.35,0.92,0.85
02-03-00,-1.93,-0.59,0.0,0.0
03-03-01,0.42,0.58,0.81,0.7
03-99-00,1.27,0.32,0.64,0.27
03-03-03,-0.49,1.22,-0.67,-0.06
03-06-03,0.85,-0.56,-0.39,-0.46
02-04-00,-1.18,-1.06,0.0,0.0
00-03-00,0.0,0.11,0.0,1.88
03-01-00,-0.76,-0.02,0.03,-1.16
03-05-01,1.53,0.06,0.14,-0.15
03-01-99,0.42,0.22,0.51,0.67
03-02-01,0.0,0.11,0.34,1.3
01-01-06,0.68,0.73,-0.14,-0.14
01-03-00,-0.66,-0.41,-0.52,0.0
01-01-99,0.0,0.32,0.51,0.74
03-06-07,0.0,0.11,0.64,0.74
04-02-00,-0.59,0.17,-0.34,-0.3
03-04-99,0.0,0.11,0.25,1.01
02-01-00,-0.76,-0.39,-0.17,0.0
03-09-01,0.85,0.11,-0.17,-0.17
03-02-02,0.36,-0.43,-0.4,0.06
03-04-01,0.26,-0.13,-0.17,-0.64
04-04-00,-1.18,0.0,0.0,0.0
03-08-99,0.85,0.0,0.13,0.07
04-00-00,-0.49,-0.05,-0.31,0.09
02-02-00,-0.76,-0.15,0.0,0.0
02-00-00,-0.66,0.1,0.13,0.0
03-08-01,-0.59,-0.26,0.0,0.0
03-03-99,0.0,0.22,0.13,0.4
03-02-00,0.0,0.09,-0.17,-0.41
04-07-00,0.42,0.0,0.25,0.0
03-08-00,0.09,-0.07,-0.31,-0.03
03-07-99,0.0,0.11,0.0,0.34
03-06-01,0.0,-0.04,0.12,-0.26
03-05-00,0.0,0.11,0.13,-0.11
03-09-00,0.0,-0.13,0.0,-0.22
03-06-05,0.0,-0.02,-0.21,-0.1
00-01-00,0.0,0.22,0.0,0.07
03-06-06,0.0,0.0,0.13,0.13
02-05-00,-0.07,0.04,0.0,0.07
03-02-99,0.0,0.11,0.0,0.07
00-04-00,0.0,0.0,0.0,0.13
01-99-00,0.0,0.0,0.0,0.13
01-07-00,0.0,0.0,0.0,-0.11
01-06-00,0.0,0.11,0.0,0.0
03-05-99,0.0,0.11,0.0,0.0
02-06-00,0.0,0.09,0.0,0.0
