cause_code,level2_name,total,0,1-4,5-9,10-14
01-01,Acute febrile illness,579,120,366,73,20
01-05,Diarrhoeal disease without fever,97,17,79,1,0
01-04,TB/AIDS,89,15,53,16,5
03-09,Nutritional disorder,41,4,26,10,1
03-08,Anaemia,41,4,32,5,0
00-02,Specific information missing on VAQ,24,7,12,3,2
04-03,Drowning/submersion,20,0,9,9,2
04-99,Other specific unlisted,18,2,9,6,1
03-04,Central nervous system disorder,18,1,10,6,1
03-02,Respiratory disorder,13,1,9,3,0
04-01,Transport,13,0,5,7,1
03-03,Gastro intestinal disorder,13,2,6,4,1
03-06,Neoplasm,12,0,5,5,2
03-99,Other specific unlisted,9,0,8,1,0
03-07,Genito urinary disorders,8,0,2,4,2
03-01,Cardiovascular disorder,8,3,3,0,2
04-07,Contact with venomous animals and plants,5,1,1,2,1
04-05,Poisoning/exposure to noxious substance,5,1,2,2,0
05-04,Congenital abnormality,4,1,2,1,0
04-04,Exposure to smoke/fire/flames,4,0,4,0,0
04-00,Unspecifiable,4,0,2,2,0
04-02,Fall,4,0,0,2,2
00-03,No significant pathology that would explain the death,3,1,1,1,0
01-07,Rabies,2,0,1,1,0
00-04,"Multiple significant pathology, single COD can't be isolated",2,1,1,0,0
04-09,Choking,2,2,0,0,0
00-01,No information (VAQ not available),1,0,1,0,0
03-05,Endocrine disorders,1,0,0,0,1
01-03,Hepatitis,1,0,1,0,0
04-08,Hanging,1,0,0,0,1
05-05,Birth injury/asphyxia,1,1,0,0,0
05-08,Sudden infant death syndrome,1,1,0,0,0
05-99,Other specific unlisted,1,1,0,0,0
