cause_code,0,1-4,5-9,10-14
01-04,-4.68,-7.42,-6.67,-12.42
01-01,4.01,-1.82,2.37,15.03
01-05,5.96,6.79,0.61,0.0
00-02,3.76,1.85,1.83,4.44
04-00,-2.55,-0.9,0.51,-5.88
04-99,1.08,1.38,3.66,2.22
03-01,1.61,0.11,-1.43,4.44
03-06,0.0,-0.1,2.34,-4.38
04-03,0.0,-0.7,-1.65,-4.38
03-08,0.88,2.15,0.19,-2.94
03-09,-1.67,-1.54,0.39,2.22
01-00,-1.27,-1.21,0.0,-2.94
05-04,-3.28,-1.25,-0.82,0.0
03-00,0.0,0.0,-1.43,-2.94
03-07,0.0,0.14,1.73,1.5
03-04,-0.1,0.16,2.23,-0.72
05-06,-3.18,0.0,0.0,0.0
04-07,0.54,-0.2,-0.21,2.22
03-03,-0.19,0.4,-1.85,-0.72
04-02,0.0,-0.17,-0.92,1.5
05-00,-2.55,0.0,0.0,0.0
03-05,0.0,0.0,0.0,2.22
04-08,0.0,0.0,0.0,2.22
04-05,0.54,-0.04,-1.64,0.0
03-99,0.0,1.23,0.61,0.0
03-02,0.54,0.17,1.12,0.0
01-03,-0.64,-0.02,-0.71,0.0
05-08,-1.37,0.0,0.0,0.0
00-03,0.54,0.15,0.61,0.0
04-09,1.08,-0.17,0.0,0.0
04-01,0.0,0.42,-0.02,-0.72
04-04,0.0,0.27,-0.71,0.0
00-04,0.54,0.15,0.0,0.0
05-99,0.54,0.0,0.0,0.0
00-01,0.0,0.15,0.0,0.0
01-07,0.0,-0.02,-0.1,0.0
05-05,-0.1,0.0,0.0,0.0
