cause_code,15-24,25-44,45-64,65+
01-04,-5.14,-11.54,-10.87,-0.25
01-01,4.01,8.51,7.61,5.04
00-02,1.27,2.59,2.04,4.56
03-01,0.28,1.37,1.52,-5.04
04-99,2.54,2.37,1.53,0.87
03-00,-0.59,-0.91,-0.9,-3.19
03-06,0.96,0.13,-0.73,-3.28
04-05,-0.99,-1.11,-1.43,-0.53
02-99,2.97,1.08,0.0,0.0
04-01,-2.14,-1.29,-0.23,-0.37
04-08,2.57,-0.29,-0.31,-0.13
01-05,0.0,0.84,1.43,0.91
01-00,-0.59,-0.41,-1.2,-0.88
03-03,-1.13,0.04,0.6,-1.11
04-06,0.68,0.73,1.32,0.12
04-03,-1.15,-1.07,-0.31,-0.15
02-03,-1.93,-0.59,0.0,0.0
03-99,1.27,0.32,0.64,0.27
03-05,1.53,0.27,0.26,-0.26
02-04,-1.18,-1.06,0.0,0.0
03-07,0.09,0.41,0.88,0.62
00-03,0.0,0.11,0.0,1.88
03-02,0.36,-0.13,-0.24,1.02
01-03,-0.66,-0.41,-0.52,0.0
03-09,0.85,-0.02,-0.17,-0.39
04-02,-0.59,0.17,-0.34,-0.3
02-01,-0.76,-0.39,-0.17,0.0
04-04,-1.18,0.0,0.0,0.0
04-00,-0.49,-0.05,-0.31,0.09
02-02,-0.76,-0.15,0.0,0.0
03-08,0.36,-0.33,-0.18,0.04
02-00,-0.66,0.1,0.13,0.0
03-04,-0.19,0.26,-0.28,0.14
04-07,0.42,0.0,0.25,0.0
00-01,0.0,0.22,0.0,0.07
02-05,-0.07,0.04,0.0,0.07
00-04,0.0,0.0,0.0,0.13
01-99,0.0,0.0,0.0,0.13
01-06,0.0,0.11,0.0,0.0
01-07,0.0,0.0,0.0,-0.11
02-06,0.0,0.09,0.0,0.0
