cause_code,0,1-4,5-9,10-14,15,16-49,50-64,65+
01-04-02,-0.7,-7.36,-8.39,-9.62,-5.95,-11.58,-10.03,-0.82
01-01-01,2.54,-3.65,3.68,8.15,12.8,0.72,0.93,-1.02
01-01-00,-0.62,-4.44,-4.82,-0.08,-9.23,2.52,2.32,2.89
05-05-00,-21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-03-00,-0.3,0.15,-0.92,-3.57,-7.74,-2.64,-2.46,-3.01
00-02-00,2.51,1.85,1.83,4.71,0.0,2.34,1.95,4.56
03-04-02,0.0,0.92,3.66,3.49,9.52,1.0,0.86,0.18
03-06-00,0.0,-0.56,-0.71,-7.14,-6.25,-0.93,-0.93,-1.69
01-04-01,0.23,1.68,2.44,0.56,4.76,2.87,3.67,1.81
04-99-00,1.0,1.38,3.66,4.71,0.0,2.56,0.88,0.87
03-04-00,-0.15,-1.23,-1.43,-3.57,-6.25,-1.09,-0.73,-0.42
03-01-02,0.13,0.15,0.0,3.53,0.0,-0.21,-3.84,-6.93
05-03-00,-13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01-04,4.16,3.64,1.0,1.14,0.0,1.46,1.81,0.26
01-01-05,-0.49,-1.64,-0.71,1.18,4.76,1.3,1.81,1.47
01-05-00,1.37,6.79,0.61,1.18,0.0,0.86,1.26,0.91
04-03-00,0.0,-0.7,-1.65,-8.36,0.0,-1.07,0.04,-0.15
01-04-00,-0.3,-1.73,0.0,0.0,-6.25,-1.93,-0.73,-0.33
03-06-99,0.0,0.46,3.05,3.53,0.0,0.73,1.95,1.54
05-00-00,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-00-00,0.0,0.0,-1.43,-3.57,0.0,-0.82,-1.04,-3.19
04-00-00,-0.76,-0.9,0.51,-5.36,0.0,-0.1,-0.45,0.09
01-01-06,0.1,0.91,0.0,1.18,4.76,0.54,-0.14,-0.14
03-09-01,-0.09,-1.54,0.39,0.56,4.76,0.06,0.0,-0.17
04-04-00,0.0,0.27,-0.71,0.0,-6.25,-0.09,0.0,0.0
01-03-00,-0.15,-0.02,-0.71,-3.57,-1.49,-0.44,-0.49,0.0
03-08-99,0.0,0.0,0.61,1.18,4.76,0.07,0.18,0.07
05-08-00,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-09-00,4.89,-0.17,0.0,1.18,0.0,0.0,0.0,0.0
