cause_code,0,1-4,5-9,10-14
01-04-02,-4.38,-7.36,-8.39,-11.7
01-01-01,4.68,-3.65,3.68,11.18
01-05-00,5.96,6.79,0.61,0.0
00-02-00,3.76,1.85,1.83,4.44
01-01-00,-1.01,-4.44,-4.82,0.07
04-00-00,-2.55,-0.9,0.51,-5.88
03-08-00,1.51,3.02,1.01,-2.94
04-99-00,1.08,1.38,3.66,2.22
01-01-04,2.26,3.64,1.0,0.79
03-06-00,0.0,-0.56,-0.71,-5.88
01-01-05,-2.5,-1.64,-0.71,2.22
03-04-02,0.0,0.92,3.66,2.22
04-03-00,0.0,-0.7,-1.65,-4.38
03-04-00,-0.64,-1.23,-1.43,-2.94
03-09-01,-1.67,-1.54,0.39,2.22
01-04-01,0.97,1.68,2.44,-0.72
03-06-99,0.0,0.46,3.05,2.22
01-00-00,-1.27,-1.21,0.0,-2.94
05-04-00,-3.28,-1.25,-0.82,0.0
03-03-00,-0.64,0.15,-0.92,-2.94
01-01-02,-0.4,2.27,-0.42,-1.44
03-00-00,0.0,0.0,-1.43,-2.94
01-01-06,0.44,0.91,0.0,2.22
03-01-99,1.08,0.15,0.0,2.22
05-06-00,-3.18,0.0,0.0,0.0
04-07-00,0.54,-0.2,-0.21,2.22
01-04-00,-1.27,-1.73,0.0,0.0
03-03-02,0.0,0.15,0.61,2.22
03-08-01,-0.64,-0.87,-1.43,0.0
03-01-02,0.54,0.15,0.0,2.22
01-01-03,0.0,0.92,1.83,0.0
03-07-01,0.0,0.15,1.73,-0.72
04-02-00,0.0,-0.17,-0.92,1.5
05-00-00,-2.55,0.0,0.0,0.0
01-01-99,0.54,0.15,1.83,0.0
03-03-03,0.44,-0.37,-1.53,0.0
04-08-00,0.0,0.0,0.0,2.22
03-07-99,0.0,0.0,0.0,2.22
03-05-01,0.0,0.0,0.0,2.22
04-05-00,0.54,-0.04,-1.64,0.0
03-99-00,0.0,1.23,0.61,0.0
03-01-00,0.0,-0.2,-1.43,0.0
01-03-00,-0.64,-0.02,-0.71,0.0
05-08-00,-1.37,0.0,0.0,0.0
00-03-00,0.54,0.15,0.61,0.0
04-09-00,1.08,-0.17,0.0,0.0
03-02-02,0.54,-0.12,0.51,0.0
04-01-00,0.0,0.42,-0.02,-0.72
03-04-99,0.54,0.46,0.0,0.0
04-04-00,0.0,0.27,-0.71,0.0
03-06-06,0.0,0.0,0.0,-0.72
01-04-03,0.0,0.0,-0.71,0.0
00-04-00,0.54,0.15,0.0,0.0
03-02-01,0.0,0.0,0.61,0.0
03-08-99,0.0,0.0,0.61,0.0
05-99-00,0.54,0.0,0.0,0.0
03-03-99,0.0,0.46,0.0,0.0
03-02-00,0.0,0.29,0.0,0.0
00-01-00,0.0,0.15,0.0,0.0
01-07-00,0.0,-0.02,-0.1,0.0
05-05-00,-0.1,0.0,0.0,0.0
03-07-00,0.0,-0.02,0.0,0.0
