cause_code,level3_name,total,0
05-00-00,Causes specific to infancy: Unspecifiable,111,18.14
05-06-00,Causes specific to infancy: Neonatal sepsis,103,16.83
05-05-00,Causes specific to infancy: Birth injury/asphyxia,79,12.91
05-03-00,Causes specific to infancy: Prematurity/low birth weight,68,11.11
05-08-00,Causes specific to infancy: Sudden infant death syndrome,56,9.15
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,45,7.35
02-04-00,Direct maternal cause: Obstructed labour,40,6.54
04-09-00,External cause: Choking,37,6.05
00-02-00,Unspecifiable: Specific information missing on VAQ,13,2.12
01-01-01,Communicable disease: Acute febrile illness: Malaria,13,2.12
05-99-00,Causes specific to infancy: Other specific unlisted,9,1.47
04-99-00,External cause: Other specific unlisted,6,0.98
05-04-00,Causes specific to infancy: Congenital abnormality,6,0.98
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,5,0.82
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,3,0.49
01-04-02,Communicable disease: TB/AIDS: AIDS,3,0.49
01-01-02,Communicable disease: Acute febrile illness: Menigitis,2,0.33
02-02-00,Direct maternal cause: Eclampsia,2,0.33
00-04-00,"Unspecifiable: Multiple significant pathology, single COD can't be isolated",1,0.16
02-99-00,Direct maternal cause: Other specific unlisted,1,0.16
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,1,0.16
03-06-07,Non communicable disease: Neoplasm: Oesophagus,1,0.16
03-05-00,Non communicable disease: Endocrine disorders: Unspecifiable,1,0.16
04-02-00,External cause: Fall,1,0.16
04-05-00,External cause: Poisoning/exposure to noxious substance,1,0.16
04-08-00,External cause: Hanging,1,0.16
03-08-00,Non communicable disease: Anaemia: Unspecifiable,1,0.16
05-02-00,Causes specific to infancy: Stillbirth,1,0.16
05-09-00,Causes specific to infancy: Neonatal tetanus,1,0.16
